table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
2820,r001,All fields,All fields,,,,,1,55703,18351,35274,2848,120,3421,2512,24248,1121,381,623
2820,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12781,3406,9052,775,29,1042,540,6158,296,90,122
2820,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1491,648,822,54,5,46,40,636,19,9,13
2820,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,917,463,446,28,2,26,18,356,8,3,5
2820,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,117,81,35,3,0,0,2,29,1,0,0
2820,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,362,177,181,14,1,15,5,135,5,2,4
2820,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,81,34,47,2,1,1,1,40,1,0,1
2820,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,120,38,80,5,0,0,4,71,0,0,0
2820,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,156,105,51,1,0,8,4,37,0,1,0
2820,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,81,28,52,3,0,2,2,44,1,0,0
2820,r011,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,,4,497,153,333,24,3,18,18,249,10,5,6
2820,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Environmental science,5,229,74,148,15,1,10,12,100,2,5,3
2820,r013,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Fishing and fisheries sciences and management,5,63,12,49,5,1,2,0,40,1,0,0
2820,r014,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Forest biology, forest management, forestry sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Forest biology, forest management, forestry sciences-other",5,74,20,52,1,0,5,0,40,3,0,3
2820,r015,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources policy and environmental economics,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Natural resources policy and environmental economics,5,75,29,46,3,0,1,4,35,3,0,0
2820,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources and conservation, wildlife and range management",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Natural resources and conservation, wildlife and range management",5,56,18,38,0,1,0,2,34,1,0,0
2820,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences, aggregated",All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences, aggregated",,4,77,32,43,2,0,2,4,31,1,1,2
2820,r018,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8702,2136,6380,600,14,809,276,4323,228,64,66
2820,r019,"All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy, developmental biology",All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",,4,138,30,106,8,0,8,8,77,3,1,1
2820,r020,"All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology, parasitology, and virology",All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",,4,168,28,140,13,0,16,7,96,7,1,0
2820,r021,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,793,227,547,43,3,66,21,382,20,6,6
2820,r022,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,242,98,140,2,0,27,1,103,2,1,4
2820,r023,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,386,98,278,37,1,38,28,161,5,1,7
2820,r024,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,221,106,111,5,0,38,4,58,2,3,1
2820,r025,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,175,51,121,14,0,14,3,82,4,2,2
2820,r026,"All fields -> Life sciences -> Biological and biomedical sciences -> Botany, plant pathology, plant physiology",All fields,Life sciences,Biological and biomedical sciences,"Botany, plant pathology, plant physiology",,4,142,49,93,11,0,6,2,70,3,1,0
2820,r027,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,364,113,248,37,0,43,13,145,5,3,2
2820,r028,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,201,53,135,14,0,19,7,87,7,1,0
2820,r029,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,184,68,116,7,1,24,3,73,7,1,0
2820,r030,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,433,39,387,26,1,10,5,322,18,2,3
2820,r031,"All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology, human / animal pathology",All fields,Life sciences,Biological and biomedical sciences,"Endocrinology, human / animal pathology",,4,62,28,32,4,0,1,3,22,1,1,0
2820,r032,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,124,41,83,5,0,8,4,66,0,0,0
2820,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology,,4,67,10,56,4,0,5,6,38,2,1,0
2820,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology,All fields,Life sciences,Biological and biomedical sciences,Epidemiology,,4,362,66,292,17,0,36,29,192,10,3,5
2820,r035,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,238,45,192,15,0,14,3,146,12,1,1
2820,r036,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics and genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics and genomics, human and animal",,4,342,66,272,20,0,35,8,191,12,3,3
2820,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,413,93,315,34,0,52,17,195,15,2,0
2820,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,430,84,341,43,2,44,8,230,11,2,1
2820,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,555,139,410,38,2,67,14,274,11,3,1
2820,r040,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,,4,34,5,28,3,0,4,4,17,0,0,0
2820,r041,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology",,4,1042,183,836,91,1,103,20,573,27,10,11
2820,r042,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,201,59,137,8,0,16,10,94,4,1,4
2820,r043,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,199,44,146,10,0,16,9,103,4,3,1
2820,r044,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,177,31,141,18,1,18,7,85,7,1,4
2820,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,58,24,33,3,1,1,3,24,1,0,0
2820,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,73,22,51,5,0,8,3,31,3,0,1
2820,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,84,25,57,7,0,7,5,36,2,0,0
2820,r048,"All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology, zoology",All fields,Life sciences,Biological and biomedical sciences,"Wildlife biology, zoology",,4,92,7,84,5,0,2,1,73,2,1,0
2820,r049,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,536,152,351,42,1,50,17,212,18,6,5
2820,r050,"All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology, biology / biomedical sciences-other",All fields,Life sciences,Biological and biomedical sciences,"Biotechnology, biology / biomedical sciences-other",,4,166,52,101,11,0,13,3,65,3,3,3
2820,r051,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2588,622,1850,121,10,187,224,1199,49,17,43
2820,r052,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,90,32,58,5,0,10,6,35,1,1,0
2820,r053,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,88,18,67,4,0,13,14,31,3,1,1
2820,r054,All fields -> Life sciences -> Health sciences -> Health services / systems administration,All fields,Life sciences,Health sciences,Health services / systems administration,,4,160,38,119,3,0,24,23,63,3,1,2
2820,r055,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science",All fields,Life sciences,Health sciences,"Kinesiology, exercise science",,4,260,48,206,13,2,2,8,170,3,0,8
2820,r056,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,90,23,67,4,0,7,1,53,2,0,0
2820,r057,All fields -> Life sciences -> Health sciences -> Nursing science,All fields,Life sciences,Health sciences,Nursing science,,4,548,62,461,27,3,34,43,332,10,6,6
2820,r058,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences,All fields,Life sciences,Health sciences,Pharmaceutical sciences,,4,359,206,129,6,0,25,12,77,5,0,4
2820,r059,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,452,63,375,34,4,35,81,194,15,5,7
2820,r060,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",,4,109,31,70,4,0,4,4,52,2,0,4
2820,r061,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,,4,116,24,88,3,0,7,9,68,0,1,0
2820,r062,"All fields -> Life sciences -> Health sciences -> Health sciences, aggregated",All fields,Life sciences,Health sciences,"Health sciences, aggregated",,4,316,77,210,18,1,26,23,124,5,2,11
2820,r063,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,,2,6585,2486,3903,269,8,366,88,2943,140,34,55
2820,r064,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,,,3,2941,1071,1781,149,3,187,62,1275,66,13,26
2820,r065,All fields -> Physical sciences and earth sciences -> Chemistry -> Analytical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,,4,367,147,217,21,0,17,11,163,4,1,0
2820,r066,All fields -> Physical sciences and earth sciences -> Chemistry -> Chemical biology,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,,4,185,59,125,7,0,18,5,84,10,0,1
2820,r067,All fields -> Physical sciences and earth sciences -> Chemistry -> Inorganic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,,4,386,118,264,21,0,24,8,200,10,1,0
2820,r068,All fields -> Physical sciences and earth sciences -> Chemistry -> Medicinal chemistry,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry,,4,94,37,55,3,0,5,4,42,1,0,0
2820,r069,All fields -> Physical sciences and earth sciences -> Chemistry -> Organic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,,4,564,216,348,26,2,42,17,244,14,2,1
2820,r070,All fields -> Physical sciences and earth sciences -> Chemistry -> Physical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,,4,390,138,250,22,0,25,5,186,10,2,0
2820,r071,All fields -> Physical sciences and earth sciences -> Chemistry -> Polymer chemistry,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,,4,174,84,89,9,0,8,2,66,3,1,0
2820,r072,All fields -> Physical sciences and earth sciences -> Chemistry -> Theoretical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,,4,96,42,53,4,0,7,1,40,1,0,0
