table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
11217,r001,1990,Research,,1,721
11217,r002,1990,Development,Total,2,476
11217,r003,1990,Development,Advanced technology development,2,NA
11217,r004,1990,Development,Major systems development,2,NA
11217,r005,1991,Research,,1,842
11217,r006,1991,Development,Total,2,483
11217,r007,1991,Development,Advanced technology development,2,NA
11217,r008,1991,Development,Major systems development,2,NA
11217,r009,1992,Research,,1,841
11217,r010,1992,Development,Total,2,476
11217,r011,1992,Development,Advanced technology development,2,NA
11217,r012,1992,Development,Major systems development,2,NA
11217,r013,1993,Research,,1,1132
11217,r014,1993,Development,Total,2,456
11217,r015,1993,Development,Advanced technology development,2,NA
11217,r016,1993,Development,Major systems development,2,NA
11217,r017,1994,Research,,1,1260
11217,r018,1994,Development,Total,2,345
11217,r019,1994,Development,Advanced technology development,2,157
11217,r020,1994,Development,Major systems development,2,187
11217,r021,1995,Research,,1,1108
11217,r022,1995,Development,Total,2,503
11217,r023,1995,Development,Advanced technology development,2,153
11217,r024,1995,Development,Major systems development,2,350
11217,r025,1996,Research,,1,1137
11217,r026,1996,Development,Total,2,466
11217,r027,1996,Development,Advanced technology development,2,180
11217,r028,1996,Development,Major systems development,2,286
11217,r029,1997,Research,,1,1042
11217,r030,1997,Development,Total,2,479
11217,r031,1997,Development,Advanced technology development,2,189
11217,r032,1997,Development,Major systems development,2,291
11217,r033,1998,Research,,1,1092
11217,r034,1998,Development,Total,2,457
11217,r035,1998,Development,Advanced technology development,2,206
11217,r036,1998,Development,Major systems development,2,251
11217,r037,1999,Research,,1,1154
11217,r038,1999,Development,Total,2,537
11217,r039,1999,Development,Advanced technology development,2,213
11217,r040,1999,Development,Major systems development,2,324
11217,r041,2000,Research,,1,1231
11217,r042,2000,Development,Total,2,602
11217,r043,2000,Development,Advanced technology development,2,268
11217,r044,2000,Development,Major systems development,2,334
11217,r045,2001,Research,,1,1377
11217,r046,2001,Development,Total,2,583
11217,r047,2001,Development,Advanced technology development,2,101
11217,r048,2001,Development,Major systems development,2,481
11217,r049,2002,Research,,1,1433
11217,r050,2002,Development,Total,2,673
11217,r051,2002,Development,Advanced technology development,2,312
11217,r052,2002,Development,Major systems development,2,361
11217,r053,2003,Research,,1,1554
11217,r054,2003,Development,Total,2,675
11217,r055,2003,Development,Advanced technology development,2,309
11217,r056,2003,Development,Major systems development,2,366
11217,r057,2004,Research,,1,1532
11217,r058,2004,Development,Total,2,618
11217,r059,2004,Development,Advanced technology development,2,261
11217,r060,2004,Development,Major systems development,2,357
11217,r061,2005,Research,,1,1597
11217,r062,2005,Development,Total,2,566
11217,r063,2005,Development,Advanced technology development,2,254
11217,r064,2005,Development,Major systems development,2,312
11217,r065,2006,Research,,1,1716
11217,r066,2006,Development,Total,2,727
11217,r067,2006,Development,Advanced technology development,2,288
11217,r068,2006,Development,Major systems development,2,439
11217,r069,2007,Research,,1,1958
11217,r070,2007,Development,Total,2,696
11217,r071,2007,Development,Advanced technology development,2,339
11217,r072,2007,Development,Major systems development,2,357
11217,r073,2008,Research,,1,1749
11217,r074,2008,Development,Total,2,771
11217,r075,2008,Development,Advanced technology development,2,298
11217,r076,2008,Development,Major systems development,2,473
11217,r077,2009<sup>a</sup>,Research,,1,1977
11217,r078,2009<sup>a</sup>,Development,Total,2,993
11217,r079,2009<sup>a</sup>,Development,Advanced technology development,2,388
11217,r080,2009<sup>a</sup>,Development,Major systems development,2,605
11217,r081,2010<sup>a</sup>,Research,,1,2080
11217,r082,2010<sup>a</sup>,Development,Total,2,1381
11217,r083,2010<sup>a</sup>,Development,Advanced technology development,2,460
11217,r084,2010<sup>a</sup>,Development,Major systems development,2,921
11217,r085,2011,Research,,1,2028
11217,r086,2011,Development,Total,2,1088
11217,r087,2011,Development,Advanced technology development,2,345
11217,r088,2011,Development,Major systems development,2,743
11217,r089,2012,Research,,1,1891
11217,r090,2012,Development,Total,2,880
11217,r091,2012,Development,Advanced technology development,2,267
11217,r092,2012,Development,Major systems development,2,613
11217,r093,2013,Research,,1,1670
11217,r094,2013,Development,Total,2,839
11217,r095,2013,Development,Advanced technology development,2,299
11217,r096,2013,Development,Major systems development,2,540
11217,r097,2014,Research,,1,1779
11217,r098,2014,Development,Total,2,1008
11217,r099,2014,Development,Advanced technology development,2,343
11217,r100,2014,Development,Major systems development,2,666
11217,r101,2015,Research,,1,1937
11217,r102,2015,Development,Total,2,742
11217,r103,2015,Development,Advanced technology development,2,186
11217,r104,2015,Development,Major systems development,2,556
11217,r105,2016,Research,,1,2031
11217,r106,2016,Development,Total,2,1160
11217,r107,2016,Development,Advanced technology development,2,186
11217,r108,2016,Development,Major systems development,2,974
11217,r109,2017,Research,,1,2478
11217,r110,2017,Development,Total,2,1175
11217,r111,2017,Development,Advanced technology development,2,191
11217,r112,2017,Development,Major systems development,2,984
11217,r113,2018<sup>b</sup>,Research,,1,2691
11217,r114,2018<sup>b</sup>,Development,Total,2,1302
11217,r115,2018<sup>b</sup>,Development,Advanced technology development,2,281
11217,r116,2018<sup>b</sup>,Development,Major systems development,2,1021
11217,r117,2019,Research,,1,2663
11217,r118,2019,Development,Total,2,2017
11217,r119,2019,Development,Advanced technology development,2,960
11217,r120,2019,Development,Major systems development,2,1057
11217,r121,2020,Research,,1,1232
11217,r122,2020,Development,Total,2,1500
11217,r123,2020,Development,Advanced technology development,2,455
11217,r124,2020,Development,Major systems development,2,1045
11217,r125,2021,Research,,1,2592
11217,r126,2021,Development,Total,2,2028
11217,r127,2021,Development,Advanced technology development,2,1106
11217,r128,2021,Development,Major systems development,2,923
11217,r129,2022,Research,,1,2459
11217,r130,2022,Development,Total,2,2041
11217,r131,2022,Development,Advanced technology development,2,1288
11217,r132,2022,Development,Major systems development,2,754
