table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
7955,r001,All R&D fields,All R&D fields,,,,1,49143460,7363495,2218358,27532379,1768703,5410561,1302288,3547676
7955,r002,All R&D fields -> Science,All R&D fields,Science,,,2,39063689,3597249,1251321,26181063,1199758,3704300,1189603,1940395
7955,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1994728,928400,57159,139417,23132,707395,8684,130541
7955,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2145163,236137,111482,53852,453130,653911,32879,603772
7955,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,484265,68114,21933,2362,150262,73350,1800,166444
7955,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,772157,62003,74207,4668,230496,251254,17605,131924
7955,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,640634,93993,8197,8143,45096,271474,3223,210508
7955,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,248107,12027,7145,38679,27276,57833,10251,94896
7955,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,28452956,1421696,239568,24181089,89649,734797,1068850,717307
7955,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,1099585,19218,42978,141437,5478,66185,725870,98419
7955,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,10001728,442545,129637,8513706,30566,524700,181468,179106
7955,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,16138445,847117,15434,14823315,42877,72526,33488,303688
