table_id,row_id,funding_division,number,percentage
6987,r001,Division of Mathematical Sciences,35727,7.69
6987,r002,Division of Earth Sciences,22800,4.91
6987,r003,Division of Undergraduate Education,22208,4.78
6987,r004,"Division of Civil, Mechanical, and Manufacturing Innovation",21136,4.55
6987,r005,"Division of Chemistry, Bioengineering, Environment, and Transportation Systems",21063,4.53
6987,r006,Division of Chemistry,20661,4.45
6987,r007,Division of Ocean Sciences,19964,4.3
6987,r008,Division of Materials Research,18921,4.07
6987,r009,Division of Environmental Biology,18809,4.05
6987,r010,Office of International Science and Engineering,18728,4.03
6987,r011,Division of Behavioral and Cognitive Science,18610,4.01
6987,r012,Division of Industrial Innovation and Partnerships,17173,3.7
6987,r013,Division of Social and Economic Sciences,16902,3.64
6987,r014,Division of Molecular and Cellular Bioscience,16193,3.49
6987,r015,Division of Integrative Organismal Systems,15344,3.3
6987,r016,Division of Computing and Communication Foundations,15130,3.26
6987,r017,Division of Atmospheric and Geospace Sciences,13961,3.0
6987,r018,Division of Computer and Network Systems,13532,2.91
6987,r019,Division of Information and Intelligent Systems,12529,2.7
6987,r020,Division of Physics,12415,2.67
6987,r021,"Electrical, Communications and Cyber Systems",11035,2.37
6987,r022,Division of Biological Infrastructure,10263,2.21
6987,r023,Division of Research on Learning,9387,2.02
6987,r024,Division of Astronomical Sciences,7832,1.69
6987,r025,Division of Experimental and Integrative Activities,6825,1.47
6987,r026,Office of Polar Programs (OPP),6311,1.36
6987,r027,Missing,5857,1.26
6987,r028,Division of Graduate Education,5503,1.18
6987,r029,Division of Human Resource Development,4776,1.03
6987,r030,Office of Advanced Cyberinfrastructure (OAC),4544,0.98
6987,r031,Division of Engineering Education and Centers,3149,0.68
6987,r032,Office of Polar Programs,2188,0.47
6987,r033,Division of Integrative Organismal Sys,1650,0.36
6987,r034,Directorate for Engineering,1402,0.3
6987,r035,Office of Integrative Activities,1082,0.23
6987,r036,SBE Office of Multidisciplinary Activities,962,0.21
6987,r037,Division of Behavioral and Neural Sciences,947,0.2
6987,r038,Emerging Frontiers,917,0.2
6987,r039,Division of Polar Programs,870,0.19
6987,r040,Division of Microelectronic Information Processing Systems,814,0.18
6987,r041,ICER,728,0.16
6987,r042,Emerging Frontiers and Multidisciplinary Activities,715,0.15
6987,r043,National Center for S&E Statistics,670,0.14
6987,r044,Directorate for Geosciences,574,0.12
6987,r045,Office of Planning and Assessment,493,0.11
6987,r046,Direct for Computer and Info Science and Engineering,473,0.1
6987,r047,Division of Cellular Biosciences,400,0.09
6987,r048,Direct for Biological Sciences,393,0.08
6987,r049,Division of Educational System Reform,310,0.07
6987,r050,EPSCoR,306,0.07
6987,r051,Division of Grants and Agreements,199,0.04
6987,r052,"Directorate for Social, Behavioral and Economic Sciences",169,0.04
6987,r053,Division of Human Resource Management,119,0.03
6987,r054,Office of Diversity and Inclusion,100,0.02
6987,r055,Office of Inspector General,66,0.01
6987,r056,Division of Industrial Innovation and Partnerships,62,0.01
6987,r057,Office of Legislative and Public Affairs,56,0.01
6987,r058,Division of Administrative Services,55,0.01
6987,r059,Division of Information Systems,55,0.01
6987,r060,National Center for Science and Engineering Statistics,52,0.01
6987,r061,Directorate for Education and Human Resources,48,0.01
6987,r062,MPS Multidisciplinary Activities,48,0.01
6987,r063,Directorate for Mathematical and Physical Sciences,38,0.01
6987,r064,Division of Financial Management,38,0.01
6987,r065,Division of Institution and Award Support,30,0.01
6987,r066,"Office of Budget, Finance, and Award Management",26,0.01
6987,r067,Division of Experimental and Integrative Activities,25,0.01
6987,r068,Budget Division,24,0.01
6987,r069,National Science Board,21,0.0
6987,r070,Division of Materials Development,20,0.0
6987,r071,Division of Acquisition and Cooperative Support,19,0.0
6987,r072,"Division of Civil, Mechanical, and Manufacturing Innovation",18,0.0
6987,r073,Office of the Director,18,0.0
6987,r074,National Coordination Office,17,0.0
6987,r075,General Counsel,16,0.0
6987,r076,Division of Information and Intelligent Systems,15,0.0
6987,r077,Division of Computer and Communication Foundations,13,0.0
6987,r078,Office of Information and Resource Management,13,0.0
6987,r079,Division of Molecular and Cellular Biosciences,10,0.0
6987,r080,Division of Atmospheric and Geospace Sciences,8,0.0
6987,r081,Division of Behavioral and Cognitive Sciences,8,0.0
6987,r082,Division of Research on Learning in Formal and Informal Settings (DRL),8,0.0
6987,r083,"Division of Chemical, Bioengineering, Environmental, and Transport Systems",6,0.0
6987,r084,CISE Information Technology Research,5,0.0
6987,r085,Directorate for Computer and Information Science and Engineering,5,0.0
6987,r086,Division of Biological Infrastructure,5,0.0
6987,r087,Large Facilities Office,5,0.0
6987,r088,National Nanotechnology Coordinating Office,5,0.0
6987,r089,Arctic Sciences Division,3,0.0
6987,r090,Directorate for Biological Sciences,3,0.0
6987,r091,"Division of Elementary, Secondary and Informal Science Education",3,0.0
6987,r092,Division of Social and Economic Sciences,3,0.0
6987,r093,Office of Science and Technology Infrastructure,3,0.0
6987,r094,"Division of Research, Evaluation and Communication",2,0.0
6987,r095,Division of Design and Manufacturing Innovation,1,0.0
6987,r096,Division of Polar Programs,1,0.0
6987,r097,SBE Office of Multidisciplinary Activities,1,0.0
6987,r098,Total,464647,100.0
