table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
12525,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,741613066,120979634,577325662,43307770
12525,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,8885851,169000,8118182,598669
12525,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,14118929,0,12608511,1510418
12525,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,2901013,600000,2301013,0
12525,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,391998,0,391998,0
12525,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,97801248,1570299,92023983,4206966
12525,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,10548105,0,10479336,68769
12525,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,29335244,10003419,18770809,561016
12525,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1600464,0,1600464,0
12525,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,7041016,5929590,1055714,55712
12525,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,53921437,1123832,51516677,1280928
12525,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2930709,288936,2494314,147459
12525,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,628842,0,198717,430125
12525,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7349090,0,7349090,0
12525,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,110813,443254,0
12525,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,1902083,321746,1529943,50394
12525,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,1366776,0,1366776,0
12525,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,2166223,509345,1656878,0
12525,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,4842218,47954,4794264,0
12525,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10567296,5792622,4774674,0
12525,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,12319129,5530721,6651797,136611
12525,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,622465,0,0,622465
12525,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1690736,203170,1057482,430084
