table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_grants_number,field_research_grants_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
3504,r001,All surveyed fields,All surveyed fields,,,1,66247,7221,10.9,40079,60.5,3523,5.3,15424,23.3
3504,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,38503,4018,10.4,24903,64.7,1490,3.9,8092,21.0
3504,r003,All surveyed fields -> Science -> Agricultural sciences,All surveyed fields,Science,Agricultural sciences,3,1079,41,3.8,706,65.4,27,2.5,305,28.3
3504,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,21847,1944,8.9,14427,66.0,1080,4.9,4396,20.1
3504,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,878,122,13.9,558,63.6,17,1.9,181,20.6
3504,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1778,301,16.9,1171,65.9,15,0.8,291,16.4
3504,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1070,173,16.2,435,40.7,49,4.6,413,38.6
3504,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,972,96,9.9,575,59.2,39,4.0,262,27.0
3504,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,806,75,9.3,528,65.5,34,4.2,169,21.0
3504,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,7159,806,11.3,4987,69.7,96,1.3,1270,17.7
3504,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1152,176,15.3,685,59.5,59,5.1,232,20.1
3504,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1762,284,16.1,831,47.2,74,4.2,573,32.5
3504,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8266,791,9.6,5939,71.8,95,1.1,1441,17.4
3504,r014,All surveyed fields -> Health,All surveyed fields,Health,,2,19478,2412,12.4,9237,47.4,1938,9.9,5891,30.2
3504,r015,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,16650,2106,12.6,7746,46.5,1651,9.9,5147,30.9
3504,r016,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2828,306,10.8,1491,52.7,287,10.1,744,26.3
