table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
4580,r001,All FFRDCs,All FFRDCs,,,1, -, -,"['23,514,241', ' ']","['4,711,829', ' ']","['9,433,095', ' ']","['9,369,317', ' ']","['23,133,501', ' ']","['4,637,198', ' ']","['9,256,845', ' ']","['9,239,458', ' ']"
4580,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2, -, -,"['7,003,132', ' ']","['2,332,938', ' ']","['1,862,217', ' ']","['2,807,977', ' ']","['6,867,741', ' ']","['2,271,407', ' ']","['1,822,482', ' ']","['2,773,852', ' ']"
4580,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,DOE,"Ames, IA","['32,844', '']","['10,484', '']","['21,909', '']","['451', '']","['32,302', '']","['10,185', '']","['21,775', '']","['342', '']"
4580,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,DOE,"Argonne, IL","['859,658', '']","['158,106', '']","['407,691', '']","['293,861', '']","['840,237', '']","['158,106', '']","['389,481', '']","['292,650', '']"
4580,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,DOE,"Batavia, IL","['300,002', '']","['298,918', '']","['1,084', '']","['0', '']","['299,811', '']","['298,788', '']","['1,023', '']","['0', '']"
4580,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,NASA,"Pasadena, CA","['2,638,412', '']","['263,841', '']","['263,841', '']","['2,110,730', '']","['2,638,412', '']","['263,841', '']","['263,841', '']","['2,110,730', '']"
4580,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,DOE,"Berkeley, CA","['916,082', '']","['765,916', '']","['111,191', '']","['38,975', '']","['862,965', '']","['727,998', '']","['99,650', '']","['35,317', '']"
4580,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"DOD, OSD","Lexington, MA","['1,115,927', '']","['6,283', '']","['991,054', '']","['118,590', '']","['1,093,081', '']","['6,283', '']","['991,054', '']","['95,744', '']"
4580,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,NSF,"Boulder, CO","['188,484', '']","['46,205', '']","['29,682', '']","['112,597', '']","['175,316', '']","['41,995', '']","['25,583', '']","['107,738', '']"
4580,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,NSF,"Charlottesville, VA","['100,078', '']","['86,633', '']","['653', '']","['12,792', '']","['98,458', '']","['86,612', '']","['496', '']","['11,350', '']"
4580,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,NSF,"Sunspot, NM","['16,892', '']","['16,892', '']","['0', '']","['0', '']","['16,472', '']","['16,472', '']","['0', '']","['0', '']"
4580,r012,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory,All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory,3,NSF,"Tucson, AZ","['72,686', '']","['72,686', '']","['0', '']","['0', '']","['69,685', '']","['69,685', '']","['0', '']","['0', '']"
4580,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,DOE,"Princeton, NJ","['107,662', '']","['107,117', '']","['545', '']","['0', '']","['103,856', '']","['103,423', '']","['433', '']","['0', '']"
4580,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,DOE,"Menlo Park, CA","['382,264', '']","['360,734', '']","['21,530', '']","['0', '']","['366,936', '']","['350,827', '']","['16,109', '']","['0', '']"
4580,r015,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"DOD, OSD","Pittsburgh, PA","['141,291', '']","['8,273', '']","['13,037', '']","['119,981', '']","['141,291', '']","['8,273', '']","['13,037', '']","['119,981', '']"
4580,r016,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,DOE,"Newport News, VA","['130,850', '']","['130,850', '']","['0', '']","['0', '']","['128,919', '']","['128,919', '']","['0', '']","['0', '']"
4580,r017,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2, -, -,"['7,419,509', ' ']","['1,695,120', ' ']","['2,054,301', ' ']","['3,670,088', ' ']","['7,279,066', ' ']","['1,689,379', ' ']","['1,982,799', ' ']","['3,606,888', ' ']"
4580,r018,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"DOD, Air Force","El Segundo, CA","['1,114,741', '']","['25,708', '']","['95,570', '']","['993,463', '']","['1,109,291', '']","['25,435', '']","['90,393', '']","['993,463', '']"
