table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
726,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
726,r002,Company and financial information (US$millions) -> 1.8,Company and financial information (US$millions),1.8,2,Worldwide net sales and operating revenues,"['12,138,755', '&nbsp;']"
726,r003,Company and financial information (US$millions) -> 1.9,Company and financial information (US$millions),1.9,2,Net sales and operating revenues from domestic operations,"['9,049,901', '&nbsp;']"
726,r004,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
726,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['440,301', '&nbsp;']"
726,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,Worldwide R&D paid for by the company (expense) adjustments,"['27,955', '&nbsp;']"
726,r007,Company and financial information (US$millions) -> 2.4,Company and financial information (US$millions),2.4,2,Worldwide R&D paid for by the company and performed by the company and others,"['412,345', '&nbsp;']"
726,r008,Company and financial information (US$millions) -> 2.8a,Company and financial information (US$millions),2.8a,2,Domestic R&D paid for by the company and performed by the company and others,"['335,360', '&nbsp;']"
726,r009,Company and financial information (US$millions) -> 2.8b,Company and financial information (US$millions),2.8b,2,Foreign R&D paid for by the company and performed by the company and others,"['76,985', '&nbsp;']"
726,r010,Company and financial information (US$millions) -> 2.6,Company and financial information (US$millions),2.6,2,Indirect R&D charges to be recouped from the U.S. federal government (IR&D or independent R&D),"['7,063', '&nbsp;']"
726,r011,Company and financial information (US$millions) ->  - ,Company and financial information (US$millions), - ,2,Domestic R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
726,r012,Company and financial information (US$millions) -> 2.11a(1),Company and financial information (US$millions),2.11a(1),2,"Salaries, wages, and fringe benefits","['171,715', '&nbsp;']"
726,r013,Company and financial information (US$millions) -> 2.11b(1),Company and financial information (US$millions),2.11b(1),2,Stock-based compensation,"['19,059', '&nbsp;']"
726,r014,Company and financial information (US$millions) -> 2.11c(1),Company and financial information (US$millions),2.11c(1),2,"Temporary staffing, including on-site contractors","['12,711', '&nbsp;']"
726,r015,Company and financial information (US$millions) -> 2.11d(1),Company and financial information (US$millions),2.11d(1),2,Expensed equipment,"['4,868', '&nbsp;']"
726,r016,Company and financial information (US$millions) -> 2.11e(1),Company and financial information (US$millions),2.11e(1),2,Materials and supplies,"['21,210', '&nbsp;']"
726,r017,Company and financial information (US$millions) -> 2.11f(1),Company and financial information (US$millions),2.11f(1),2,Leased facilities and equipment rental payments,"['4,829', '&nbsp;']"
