table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_astronomy,field_chemistry,field_physics,field_other_physical_sciences
3921,r001,All agencies surveyed,All agencies surveyed,,,,,1,2198843.0,209738.8,521424.8,852739.6,614939.7
3921,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,
3921,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,18958.9,0.0,18683.9,275.0,0.0
3921,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,7356.5,0.0,7081.5,275.0,0.0
3921,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,191.0,0.0,191.0,0.0,0.0
3921,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,11411.5,0.0,11411.5,0.0,0.0
3921,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,271978.5,685.2,58313.6,194294.1,18685.6
3921,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,49581.9,0.0,14862.9,34718.9,0.0
3921,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,148459.1,120.2,12217.1,126571.4,9550.4
3921,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,,4,13913.5,0.0,5265.4,5173.4,3474.7
3921,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,15419.1,565.0,4021.1,5172.6,5660.5
3921,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,44605.0,0.0,21947.1,22657.8,0.0
3921,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,551868.3,0.0,139467.0,398649.9,13751.4
3921,r014,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,20635.8,0.0,10728.5,9907.2,0.0
3921,r015,All agencies surveyed -> Departments -> Department of Energy -> Fossil Energy,All agencies surveyed,Departments,Department of Energy,Fossil Energy,,4,33000.0,0.0,33000.0,0.0,0.0
3921,r016,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,,4,14451.4,0.0,0.0,700.0,13751.4
3921,r017,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,700.0,0.0,0.0,700.0,0.0
3921,r018,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,13751.4,0.0,0.0,0.0,13751.4
3921,r019,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,,4,483781.1,0.0,95738.5,388042.7,0.0
3921,r020,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,,3,66875.6,0.0,65860.4,0.0,1015.2
3921,r021,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,,4,66875.6,0.0,65860.4,0.0,1015.2
3921,r022,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,,3,804.9,0.0,699.4,0.0,105.5
3921,r023,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,,4,804.9,0.0,699.4,0.0,105.5
3921,r024,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,,2,,,,,
3921,r025,All agencies surveyed -> Other agencies -> National Aeronautics and Space Administration,All agencies surveyed,Other agencies,National Aeronautics and Space Administration,,,3,506763.3,118991.2,0.0,1714.4,386057.7
3921,r026,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,,3,781593.4,90062.4,238400.5,257806.2,195324.4
