table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7526,r001,Male doctorate recipients,Male doctorate recipients,,,,1,26188,27362,28326,29008,29532,29572,29446,29743,30111,29855,28082
7526,r002,Male doctorate recipients -> U.S. citizen or permanent resident,Male doctorate recipients,U.S. citizen or permanent resident,,,2,15396,16072,16550,16660,17218,17530,17565,17312,17263,16776,15231
7526,r003,Male doctorate recipients -> Temporary visa holder,Male doctorate recipients,Temporary visa holder,,,2,9179,9556,10103,10204,10395,10671,10601,11308,11767,11870,11399
7526,r004,Male doctorate recipients -> Unknown citizenship,Male doctorate recipients,Unknown citizenship,,,2,1613,1734,1673,2144,1919,1371,1280,1123,1081,1209,1452
7526,r005,Male doctorate recipients -> Hispanic or Latino,Male doctorate recipients,Hispanic or Latino,,,2,1494,1549,1523,1588,1758,1766,1805,1865,2011,2047,2005
7526,r006,Male doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,Male doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,893,948,905,999,1119,1134,1152,1196,1302,1266,1279
7526,r007,Male doctorate recipients -> Hispanic or Latino -> Temporary visa holder,Male doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,598,599,612,580,634,630,634,666,706,778,724
7526,r008,Male doctorate recipients -> Hispanic or Latino -> Unknown citizenship,Male doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,3,2,6,9,5,2,19,3,3,3,2
7526,r009,Male doctorate recipients -> Not Hispanic or Latino,Male doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
7526,r010,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,56,42,62,54,64,63,49,44,58,39,40
7526,r011,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,50,41,56,49,58,57,48,43,56,39,38
7526,r012,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,,,,,6,,,,0,
7526,r013,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,,,,,0,,,,0,
7526,r014,Male doctorate recipients -> Not Hispanic or Latino -> Asian,Male doctorate recipients,Not Hispanic or Latino,Asian,,3,7407,7730,8038,8091,8235,8538,8670,8902,9182,9192,8930
7526,r015,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,1263,1312,1264,1243,1359,1432,1656,1562,1626,1535,1442
7526,r016,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,6131,6405,6761,6842,6867,7081,6998,7315,7532,7638,7474
7526,r017,Male doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,13,13,13,6,9,25,16,25,24,19,14
7526,r018,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American,Male doctorate recipients,Not Hispanic or Latino,Black or African American,,3,917,1047,1101,1151,1113,1205,1205,1324,1261,1317,1243
7526,r019,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,666,741,801,821,807,863,850,923,893,917,879
7526,r020,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,248,303,297,329,306,341,347,398,365,396,358
7526,r021,Male doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,3,3,3,1,0,1,8,3,3,4,6
7526,r022,Male doctorate recipients -> Not Hispanic or Latino -> White,Male doctorate recipients,Not Hispanic or Latino,White,,3,13601,14041,14608,14624,15101,15155,14950,14982,14887,14568,12867
7526,r023,Male doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,11737,12168,12582,12590,12978,13033,12667,12608,12366,12087,10670
7526,r024,Male doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,1838,1859,2005,2021,2101,2103,2246,2360,2477,2449,2182
7526,r025,Male doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,26,14,21,13,22,19,37,14,44,32,15
7526,r026,Male doctorate recipients -> Not Hispanic or Latino -> More than one race,Male doctorate recipients,Not Hispanic or Latino,More than one race,,3,381,384,432,451,436,511,517,556,588,607,550
7526,r027,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,346,347,388,411,394,455,462,485,495,531,485
7526,r028,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,35,37,44,40,42,56,,,,76,
7526,r029,Male doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,0,0,0,0,0,0,,,,0,
7526,r030,Male doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,Male doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,273,260,243,249,291,278,476,528,521,478,584
7526,r031,Male doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Other race or race not reported,U.S. citizen or permanent resident,4,136,148,148,162,152,149,269,215,207,175,209
7526,r032,Male doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Temporary visa holder,4,,,,,,118,191,305,298,293,350
7526,r033,Male doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Unknown citizenship,4,,,,,,11,16,8,16,10,25
7526,r034,Male doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported,Male doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,,3,2059,2309,2319,2800,2534,2056,1774,1542,1603,1607,1863
7526,r035,Male doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> U.S. citizen or permanent resident,Male doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,U.S. citizen or permanent resident,4,305,367,406,385,351,407,461,280,318,226,229
7526,r036,Male doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Temporary visa holder,Male doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Temporary visa holder,4,189,243,290,305,320,336,129,192,294,240,244
7526,r037,Male doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Unknown citizenship,Male doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Unknown citizenship,4,1565,1699,1623,2110,1863,1313,1184,1070,991,1141,1390
