table_id,row_id,citizenship_status_and_major_field_of_study_full_path,citizenship_status_and_major_field_of_study_level_1,citizenship_status_and_major_field_of_study_level_2,citizenship_status_and_major_field_of_study_level_3,citizenship_status_and_major_field_of_study_level_4,citizenship_status_and_major_field_of_study_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field__change_2008_17
956,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48777,49552,48029,48911,50944,52704,53992,54901,54862,54664,12.1
956,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11086,11403,11319,11535,11964,12208,12484,12499,12554,12592,13.6
956,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1198,1283,1100,1206,1255,1324,1338,1434,1381,1606,34.1
956,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,7797,8025,8046,8152,8322,8355,8868,8788,8873,8477,8.7
956,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2091,2095,2173,2177,2387,2529,2278,2277,2300,2509,20.0
956,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,4946,5160,4995,5271,5419,5584,5911,5918,6252,6081,22.9
956,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2246,2391,2304,2432,2416,2484,2673,2668,2704,2697,20.1
956,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,865,877,862,852,941,989,1099,1057,1227,1165,34.7
956,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1835,1892,1829,1987,2062,2111,2139,2193,2321,2219,20.9
956,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3187,3163,3223,3273,3496,3660,3862,3818,3956,3843,20.6
