table_id,row_id,field_sex_and_degree_full_path,field_sex_and_degree_level_1,field_sex_and_degree_level_2,field_sex_and_degree_level_3,field_sex_and_degree_level_4,field_sex_and_degree_level_5,field_sex_and_degree_hierarchy_depth,field_all_sources,field_federal_support_total,field_federal_support_dod,field_federal_support_doe,field_federal_support_hhs_total,field_federal_support_hhs_nih,field_federal_support_hhs_other,field_federal_support_nasa,field_federal_support_nsf,field_federal_support_usda,field_federal_support_other,field_institutional_support,field_other_nonfederal_support_total,field_other_nonfederal_support_united_states,field_other_nonfederal_support_foreign,field_self_support
3252,r001,All S&E graduate students,All S&E graduate students,,,,,1,441584,68229,7522,4561,20686,18348,2338,1896,21546,2560,9458,186068,22693,18282,4411,164594
3252,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,,2,321063,46268,3176,2370,17415,15733,1682,1193,13387,2235,6492,141941,13396,10988,2408,119458
3252,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,,3,6899,1294,7,32,94,25,69,7,122,837,195,3423,901,821,80,1281
3252,r004,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,,3,74013,18269,331,144,13436,12527,909,61,2507,663,1127,32644,3918,3355,563,19182
3252,r005,All S&E graduate students -> Science -> Computer and information sciences,All S&E graduate students,Science,Computer and information sciences,,,3,57789,4871,968,103,326,250,76,46,2637,28,763,14310,1770,1320,450,36838
3252,r006,"All S&E graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,3,9770,2535,179,104,33,26,7,424,1282,31,482,5189,587,483,104,1459
3252,r007,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,,3,24955,1518,158,33,214,185,29,14,885,15,199,12590,617,391,226,10230
3252,r008,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,,3,6656,499,46,18,117,111,6,17,147,38,116,2449,181,150,31,3527
3252,r009,All S&E graduate students -> Science -> Natural resources and conservation,All S&E graduate students,Science,Natural resources and conservation,,,3,8034,1303,31,22,120,76,44,46,326,333,425,3397,491,404,87,2843
3252,r010,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,,3,37671,10211,753,1888,1881,1627,254,533,4289,33,834,22423,2022,1715,307,3015
3252,r011,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,,3,38525,2962,186,4,907,719,188,6,439,13,1407,13487,799,708,91,21277
3252,r012,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,,3,56751,2806,517,22,287,187,100,39,753,244,944,32029,2110,1641,469,19806
3252,r013,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,,2,120521,21961,4346,2191,3271,2615,656,703,8159,325,2966,44127,9297,7294,2003,45136
3252,r014,"All S&E graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,4301,1045,493,60,3,3,0,182,148,1,158,1623,410,321,89,1223
3252,r015,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,,3,858,237,0,8,28,4,24,4,40,115,42,373,114,89,25,134
3252,r016,All S&E graduate students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Engineering,Bioengineering and biomedical engineering,,,3,9933,2576,150,8,1610,1478,132,10,654,10,134,4060,652,597,55,2645
3252,r017,All S&E graduate students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Engineering,Biological and biosystems engineering,,,3,199,39,0,1,9,9,0,0,10,10,9,114,24,20,4,22
3252,r018,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,,3,8803,2208,185,358,357,282,75,27,1056,25,200,3726,1023,777,246,1846
3252,r019,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,,3,14862,1991,147,118,138,45,93,66,850,54,618,6297,971,748,223,5603
3252,r020,"All S&E graduate students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Engineering,"Electrical, electronics, and communications engineering",,,3,34814,5753,1576,388,510,407,103,138,2519,24,598,10570,2483,1942,541,16008
3252,r021,"All S&E graduate students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Engineering,"Engineering mechanics, physics, and science",,,3,1768,530,160,51,54,52,2,9,190,4,62,759,122,87,35,357
3252,r022,All S&E graduate students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Engineering,Industrial and manufacturing engineering,,,3,9393,922,373,30,62,19,43,10,344,8,95,2741,434,330,104,5296
3252,r023,All S&E graduate students -> Engineering -> Mechanical engineering,All S&E graduate students,Engineering,Mechanical engineering,,,3,20076,3480,732,451,240,168,72,197,1346,28,486,7953,1623,1253,370,7020
3252,r024,All S&E graduate students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Engineering,Metallurgical and materials engineering,,,3,5823,1543,311,293,108,66,42,25,650,12,144,2260,669,544,125,1351
