table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
10188,r001,All R&D fields,All R&D fields,,,1,161529,9900,6.1,81137,4989,6.1
10188,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,2,128181,6856,5.3,69859,4211,6.0
10188,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,3,7149,650,9.1,4773,467,9.8
10188,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",3,9705,205,2.1,6304,127,2.0
10188,r005,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,3,57774,3080,5.3,29625,1721,5.8
10188,r006,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,3,3220,103,3.2,2161,57,2.6
10188,r007,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,3,21582,853,4.0,14069,466,3.3
10188,r008,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,3,3811,228,6.0,1684,136,8.1
10188,r009,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,3,12526,1280,10.2,4652,1026,22.1
10188,r010,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,3,4800,3,0.1,1322,2,0.2
10188,r011,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,3,7614,454,6.0,5269,209,4.0
10188,r012,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,2,33348,3044,9.1,11278,778,6.9
