table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_and_local_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_organizations_in_the_united_states,field_all_other_organizations_outside_the_united_states
6588,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['37,537', '']","['31,827', '']","['1,347', '']","['3,251', '']","['64', 'i']","['24', '']","['439', '']","['465', '']","['120', '']"
6588,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['33,886', '']","['28,760', '']","['1,302', '']","['2,866', '']","['64', 'i']","['13', '']","['404', '']","['403', '']","['75', '']"
6588,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['190', '']","['152', '']","['*', '']","['7', '']","['*', 'i']","['*', 'i']","['9', 'i']","['20', '']","['1', '']"
6588,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['176', '']","['161', '']","['0', '']","['10', 'i']","['0', '']","['0', '']","['3', '']","['2', '']","['0', '']"
6588,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['16', '']","['16', '']","['0', '']","['*', 'i']","['0', '']","['0', '']","['*', 'i']","['*', 'i']","['*', 'i']"
6588,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['11', '']","['10', '']","['0', '']","['0', '']","['*', '']","['0', '']","['*', '']","['1', '']","['0', '']"
6588,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['4', '']","['3', '']","['0', '']","['*', '']","['0', '']","['0', '']","['*', '']","['1', '']","['0', '']"
6588,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['6', 'i']","['6', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6588,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['248 - 347', '']","['137 - 247', '']","['0', '']","['0 - 17', '']","['5', '']","['0', '']","['0 - 36', '']","['56', '']","['0 - 35', '']"
6588,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['25,666', '']","['22,597', '']","['66', '']","['2,530', '']","['*', '']","['*', 'i']","['214', '']","['224', '']","['34', '']"
6588,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['63', '']","['58', '']","['0', '']","['1', '']","['0', '']","['0', '']","['5', '']","['*', '']","['*', '']"
6588,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['25', '']","['24', '']","['0', '']","['*', '']","['0', '']","['0', '']","['*', '']","['*', '']","['0', '']"
6588,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['192', '']","['178', '']","['0', '']","['2', '']","['0', '']","['0', '']","['2', '']","['2', '']","['7', '']"
6588,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['25,052', '']","['22,036', '']","['61', '']","['2,518', '']","['*', '']","['*', 'i']","['200', '']","['214', '']","['24', '']"
6588,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['291', '']","['271', '']","['1', 'i']","['8', 'i']","['*', 'i']","['*', 'i']","['1', '']","['7', '']","['3', '']"
6588,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['42', '']","['30', '']","['5', '']","['1', '']","['0', '']","['0', '']","['6', '']","['*', 'i']","['*', '']"
6588,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['53', '']","['41', '']","['0 - 12', '']","['0 - 12', '']","['*', '']","['0', '']","['2', '']","['0 - 12', '']","['*', '']"
6588,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['23', '']","['12', '']","['9', '']","['2', '']","['*', '']","['0', '']","['*', '']","['0', '']","['*', '']"
6588,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['15', '']","['12', '']","['0', '']","['*', '']","['0', '']","['0', '']","['2', '']","['*', '']","['0', '']"
