table_id,row_id,educational_background_full_path,educational_background_level_1,educational_background_level_2,educational_background_hierarchy_depth,field_all_s_e_occupations,field_biological_agricultural_and_environmental_life_scientists,field_computer_and_mathematical_scientists,field_physical_scientists,field_social_scientists,field_engineers
1593,r001,Total (number),Total (number),,1,6769000,610000,3419000,366000,646000,1728000
1593,r002,At least one S&E degree,At least one S&E degree,,1,81.9,91.5,75.3,94.5,76.6,91.0
1593,r003,At least one S&E degree -> At least one S&E degree in field,At least one S&E degree,At least one S&E degree in field,2,60.8,76.9,44.8,75.5,70.9,82.4
1593,r004,At least one S&E degree -> Highest degree in field,At least one S&E degree,Highest degree in field,2,54.8,68.2,40.2,59.3,60.5,75.9
1593,r005,At least one S&E degree -> All degrees in S&E,At least one S&E degree,All degrees in S&E,2,71.0,75.3,66.0,86.1,50.9,83.1
1593,r006,No S&E degrees but at least one S&E-related degree,No S&E degrees but at least one S&E-related degree,,1,4.3,5.7,4.4,1.5,2.5,4.6
1593,r007,No S&E or S&E-related degree but at least one non-S&E degree,No S&E or S&E-related degree but at least one non-S&E degree,,1,13.7,2.3,20.4,3.6,20.6,4.1
