table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
770,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,543', '&nbsp;']","['1,075', '&nbsp;']","['115', '&nbsp;']","['302', '&nbsp;']","['167', '&nbsp;']"
770,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['916', '&nbsp;']","['652', '&nbsp;']","['72', '&nbsp;']","['161', '&nbsp;']","['103', '&nbsp;']"
770,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['24', '&nbsp;']","['13', 'i']","['2', 'i']","['7', '&nbsp;']","['5', 'i']"
770,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['4', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
770,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['7', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']"
770,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
770,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['2', 'i']","['*', 'i']"
770,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', '&nbsp;']","['2', 'i']","['*', '&nbsp;']","['1', 'i']","['1', 'i']"
770,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', 'i']"
770,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['167', '&nbsp;']","['114', '&nbsp;']","['30', '&nbsp;']","['29', '&nbsp;']","['25', '&nbsp;']"
770,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['14', '&nbsp;']","['9', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['2', '&nbsp;']"
770,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['7', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
770,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['9', '&nbsp;']","['5', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']"
770,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['120', '&nbsp;']","['83', '&nbsp;']","['21', '&nbsp;']","['17', '&nbsp;']","['20', '&nbsp;']"
770,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['7', '&nbsp;']","['6', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
770,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['10', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']"
770,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['24', '&nbsp;']","['13', 'i']","['1', 'i']","['6', 'i']","['5', 'i']"
770,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7', '&nbsp;']","['5', 'i']","['1', 'i']","['2', 'i']","['1', 'i']"
770,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['6', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['2', 'i']","['2', '&nbsp;']"
770,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['36', '&nbsp;']","['16', 'i']","['*', 'i']","['12', 'i']","['8', 'i']"
770,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['82', '&nbsp;']","['55', '&nbsp;']","['3', 'i']","['20', '&nbsp;']","['8', '&nbsp;']"
770,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['9', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
770,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['9', '&nbsp;']","['7', '&nbsp;']","['1', 'i']","['2', '&nbsp;']","['*', '&nbsp;']"
770,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['10', '&nbsp;']","['8', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
770,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['54', '&nbsp;']","['33', 'i']","['2', 'i']","['14', 'i']","['7', 'i']"
770,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['263', '&nbsp;']","['219', '&nbsp;']","['19', 'i']","['27', 'i']","['17', '&nbsp;']"
770,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['58', '&nbsp;']","['49', '&nbsp;']","['2', 'i']","['5', 'i']","['3', '&nbsp;']"
770,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['97', '&nbsp;']","['84', '&nbsp;']","['10', 'i']","['7', '&nbsp;']","['5', '&nbsp;']"
770,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['66', '&nbsp;']","['52', '&nbsp;']","['4', '&nbsp;']","['10', '&nbsp;']","['5', '&nbsp;']"
770,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['14', '&nbsp;']","['10', 'i']","['1', 'i']","['3', 'i']","['1', 'i']"
770,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['29', '&nbsp;']","['24', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']"
770,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['23', '&nbsp;']","['18', '&nbsp;']","['1', 'i']","['4', '&nbsp;']","['2', 'i']"
770,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['42', '&nbsp;']","['34', 'i']","['3', 'i']","['5', '&nbsp;']","['3', 'i']"
770,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['28', '&nbsp;']","['21', '&nbsp;']","['2', 'i']","['6', '&nbsp;']","['2', '&nbsp;']"
770,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['185', '&nbsp;']","['137', '&nbsp;']","['7', '&nbsp;']","['29', '&nbsp;']","['19', '&nbsp;']"
770,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['101', '&nbsp;']","['76', '&nbsp;']","['3', '&nbsp;']","['16', 'i']","['10', '&nbsp;']"
770,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['70', '&nbsp;']","['54', '&nbsp;']","['4', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']"
770,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['58', '&nbsp;']","['46', '&nbsp;']","['3', '&nbsp;']","['7', '&nbsp;']","['5', '&nbsp;']"
770,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['12', '&nbsp;']","['8', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']"
770,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']"
