table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
12285,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['608,058', '  ']","['323,313', '  ']","['70,482', '  ']","['28,058', '  ']","['10,260', '  ']","['36,945', '  ']","['9,732', '  ']","['20,232', '  ']","['3,580', '  ']","['18,775', '  ']","['86,682', '  ']"
12285,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,998', '  ']","['164,537', '  ']","['20,954', '  ']","['12,816', '  ']","['4,181', '  ']","['31,464', '  ']","['5,476', '  ']","['12,995', '  ']","['2,975', '  ']","['13,230', '  ']","['58,369', '  ']"
12285,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['D', '  ']","['3,256', '  ']","['82', '  ']","['276', '  ']","['20', '  ']","['1,009', '  ']","['95', '  ']","['D', '  ']","['7', 'r ']","['230', '  ']","['1,561', 'r ']"
12285,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['660', '  ']","['351', '  ']","['3', 'i ']","['34', '  ']","['1', '  ']","['53', '  ']","['5', '  ']","['27', '  ']","['*', '  ']","['22', '  ']","['162', '  ']"
12285,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['D', '  ']","['446', '  ']","['10', '  ']","['18', '  ']","['4', '  ']","['62', '  ']","['7', '  ']","['D', '  ']","['1', '  ']","['25', '  ']","['35', '  ']"
12285,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['254', '  ']","['191', '  ']","['1', 'r ']","['4', '  ']","['9', 'r ']","['32', '  ']","['2', '  ']","['3', '  ']","['*', 'r ']","['3', '  ']","['9', '  ']"
12285,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,004', '  ']","['513', '  ']","['2', '  ']","['2', 'i ']","['13', '  ']","['378', '  ']","['5', '  ']","['7', '  ']","['0', '  ']","['6', '  ']","['77', '  ']"
12285,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['164', '  ']","['99', '  ']","['*', 'i ']","['11', '  ']","['1', '  ']","['15', 'i ']","['5', '  ']","['10', 'i ']","['1', '  ']","['12', 'i ']","['9', 'i ']"
12285,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['856', '  ']","['444', '  ']","['1', '  ']","['53', '  ']","['2', '  ']","['54', '  ']","['2', '  ']","['36', '  ']","['0', '  ']","['103', '  ']","['161', '  ']"
12285,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['113,518', '  ']","['46,687', '  ']","['7,217', '  ']","['7,068', '  ']","['949', '  ']","['11,003', '  ']","['2,439', '  ']","['3,765', '  ']","['1,415', '  ']","['8,480', '  ']","['24,494', '  ']"
12285,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '  ']","['1,561', '  ']","['29', '  ']","['D', '  ']","['11', '  ']","['252', '  ']","['78', '  ']","['D', '  ']","['22', '  ']","['130', '  ']","['D', '  ']"
12285,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,413', '  ']","['873', '  ']","['1', '  ']","['53', '  ']","['4', '  ']","['D', '  ']","['16', '  ']","['D', '  ']","['23', '  ']","['83', '  ']","['D', '  ']"
12285,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['D', '  ']","['D', '&nbsp;']","['3', 'i ']","['D', '&nbsp;']","['12', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['12', 'i ']","['D', '&nbsp;']"
12285,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['104,720', '  ']","['41,226', '  ']","['7,169', '  ']","['6,804', '  ']","['907', '  ']","['10,324', '  ']","['2,286', '  ']","['3,332', '  ']","['1,351', '  ']","['8,186', '  ']","['23,135', '  ']"
12285,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['D', '  ']","['1,680', '  ']","['13', '  ']","['78', '  ']","['2', '  ']","['145', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['36', '  ']","['D', '  ']"
