table_id,row_id,_b_country_or_economy_of_citizenship_b_full_path,_b_country_or_economy_of_citizenship_b_level_1,_b_country_or_economy_of_citizenship_b_level_2,_b_country_or_economy_of_citizenship_b_level_3,_b_country_or_economy_of_citizenship_b_hierarchy_depth,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying,field_2021_number,field_2021_staying
7542,r001,All temporary visa holders reporting intention to stay,All temporary visa holders reporting intention to stay,,,1,16129,71.3,16477,72.5,16288,74.3,17582,72.0,18324,71.2,18476,73.0,17638,71.3
7542,r002,All temporary visa holders reporting intention to stay -> Africa,All temporary visa holders reporting intention to stay,Africa,,2,649,66.4,653,70.8,700,70.9,745,70.6,743,72.0,788,72.6,758,74.0
7542,r003,All temporary visa holders reporting intention to stay -> Africa -> Egypt,All temporary visa holders reporting intention to stay,Africa,Egypt,3,129,62.8,117,66.7,156,69.9,156,73.7,163,74.8,127,81.1,133,80.5
7542,r004,All temporary visa holders reporting intention to stay -> Africa -> Nigeria,All temporary visa holders reporting intention to stay,Africa,Nigeria,3,83,75.9,112,83.9,113,77.9,147,75.5,145,81.4,161,79.5,193,78.2
7542,r005,All temporary visa holders reporting intention to stay -> Africa -> Ghana,All temporary visa holders reporting intention to stay,Africa,Ghana,3,83,65.1,87,70.1,85,71.8,103,66.0,88,72.7,106,73.6,88,79.5
7542,r006,All temporary visa holders reporting intention to stay -> Africa -> Libya,All temporary visa holders reporting intention to stay,Africa,Libya,3,60,71.7,67,65.7,48,75.0,56,76.8,61,68.9,61,77.0,56,78.6
7542,r007,All temporary visa holders reporting intention to stay -> Africa -> Kenya,All temporary visa holders reporting intention to stay,Africa,Kenya,3,57,68.4,60,66.7,57,63.2,50,68.0,38,78.9,57,70.2,53,58.5
7542,r008,All temporary visa holders reporting intention to stay -> Africa -> Ethiopia,All temporary visa holders reporting intention to stay,Africa,Ethiopia,3,28,75.0,42,85.7,31,83.9,31,,35,71.4,28,82.1,30,76.7
7542,r009,All temporary visa holders reporting intention to stay -> Africa -> South Africa,All temporary visa holders reporting intention to stay,Africa,South Africa,3,25,52.0,20,60.0,20,45.0,26,53.8,29,51.7,24,54.2,23,60.9
7542,r010,All temporary visa holders reporting intention to stay -> Africa -> Uganda,All temporary visa holders reporting intention to stay,Africa,Uganda,3,23,60.9,16,56.3,19,47.4,20,50.0,20,45.0,30,53.3,28,42.9
7542,r011,All temporary visa holders reporting intention to stay -> Africa -> Zimbabwe,All temporary visa holders reporting intention to stay,Africa,Zimbabwe,3,22,77.3,15,,24,,18,66.7,16,,22,,18,
7542,r012,All temporary visa holders reporting intention to stay -> Africa -> Cameroon,All temporary visa holders reporting intention to stay,Africa,Cameroon,3,20,,17,,23,,17,70.6,18,,14,,11,
7542,r013,All temporary visa holders reporting intention to stay -> Africa -> Tunisia,All temporary visa holders reporting intention to stay,Africa,Tunisia,3,10,,11,72.7,14,,8,,14,,15,,13,
7542,r014,All temporary visa holders reporting intention to stay -> Africa -> Tanzania,All temporary visa holders reporting intention to stay,Africa,Tanzania,3,15,40.0,6,,17,29.4,9,,7,,10,,12,
7542,r015,All temporary visa holders reporting intention to stay -> Africa -> Other,All temporary visa holders reporting intention to stay,Africa,Other,3,94,59.6,83,59.0,93,67.7,104,66.3,109,60.6,133,59.4,100,69.0
7542,r016,All temporary visa holders reporting intention to stay -> Americas,All temporary visa holders reporting intention to stay,Americas,,2,1480,55.7,1503,57.5,1445,56.5,1474,60.0,1534,60.8,1663,60.3,1492,64.5
7542,r017,All temporary visa holders reporting intention to stay -> Americas -> Canada,All temporary visa holders reporting intention to stay,Americas,Canada,3,454,56.6,408,56.6,409,59.2,431,62.2,427,62.3,398,57.8,367,54.8
7542,r018,All temporary visa holders reporting intention to stay -> Americas -> Brazil,All temporary visa holders reporting intention to stay,Americas,Brazil,3,149,50.3,156,56.4,168,61.3,178,61.2,253,63.6,318,60.7,273,72.5
7542,r019,All temporary visa holders reporting intention to stay -> Americas -> Mexico,All temporary visa holders reporting intention to stay,Americas,Mexico,3,194,53.1,221,61.1,180,69.4,185,71.4,187,64.2,236,64.0,214,72.0
7542,r020,All temporary visa holders reporting intention to stay -> Americas -> Colombia,All temporary visa holders reporting intention to stay,Americas,Colombia,3,183,68.3,187,61.5,190,48.4,205,52.7,202,58.9,191,60.2,190,66.8
7542,r021,All temporary visa holders reporting intention to stay -> Americas -> Chile,All temporary visa holders reporting intention to stay,Americas,Chile,3,103,32.0,130,32.3,128,25.8,91,39.6,100,35.0,106,43.4,85,54.1
7542,r022,All temporary visa holders reporting intention to stay -> Americas -> Argentina,All temporary visa holders reporting intention to stay,Americas,Argentina,3,64,53.1,65,61.5,52,69.2,60,66.7,52,61.5,64,68.8,46,63.0
7542,r023,All temporary visa holders reporting intention to stay -> Americas -> Peru,All temporary visa holders reporting intention to stay,Americas,Peru,3,53,66.0,56,69.6,50,70.0,46,50.0,51,76.5,55,72.7,48,72.9
7542,r024,All temporary visa holders reporting intention to stay -> Americas -> Ecuador,All temporary visa holders reporting intention to stay,Americas,Ecuador,3,42,38.1,42,40.5,49,36.7,44,38.6,50,42.0,49,63.3,54,59.3
7542,r025,All temporary visa holders reporting intention to stay -> Americas -> Jamaica,All temporary visa holders reporting intention to stay,Americas,Jamaica,3,36,69.4,34,76.5,29,69.0,44,54.5,32,68.8,30,80.0,30,60.0
7542,r026,All temporary visa holders reporting intention to stay -> Americas -> Costa Rica,All temporary visa holders reporting intention to stay,Americas,Costa Rica,3,31,38.7,33,42.4,24,45.8,28,50.0,26,38.5,31,41.9,35,51.4
7542,r027,All temporary visa holders reporting intention to stay -> Americas -> Venezuela,All temporary visa holders reporting intention to stay,Americas,Venezuela,3,29,75.9,27,,31,67.7,26,76.9,28,82.1,32,,30,
7542,r028,All temporary visa holders reporting intention to stay -> Americas -> Uruguay,All temporary visa holders reporting intention to stay,Americas,Uruguay,3,19,68.4,13,,7,,15,,18,55.6,15,46.7,16,50.0
7542,r029,All temporary visa holders reporting intention to stay -> Americas -> Guatemala,All temporary visa holders reporting intention to stay,Americas,Guatemala,3,17,52.9,12,,12,41.7,12,,11,,17,70.6,13,46.2
7542,r030,All temporary visa holders reporting intention to stay -> Americas -> Honduras,All temporary visa holders reporting intention to stay,Americas,Honduras,3,11,,15,,12,58.3,14,,13,,10,,13,100.0
7542,r031,All temporary visa holders reporting intention to stay -> Americas -> Dominican Republic,All temporary visa holders reporting intention to stay,Americas,Dominican Republic,3,10,,13,,8,,10,50.0,6,,18,33.3,8,
7542,r032,All temporary visa holders reporting intention to stay -> Americas -> Other,All temporary visa holders reporting intention to stay,Americas,Other,3,85,60.0,91,,96,63.5,85,74.1,78,66.7,93,,70,67.1
