table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10286,r001,All locations,All locations,,,1,189398467,71665012,14791390,50224547,39766441,11984913,966164
10286,r002,All locations -> Alabama,All locations,Alabama,,2,3966904,1969225,0,1444178,499203,40455,13844
10286,r003,All locations -> Alaska,All locations,Alaska,,2,322626,108294,0,76522,115689,13675,8446
10286,r004,All locations -> Arizona,All locations,Arizona,,2,1663321,188312,0,828090,549334,84104,13481
10286,r005,All locations -> Arkansas,All locations,Arkansas,,2,300252,66170,0,86351,126768,11006,9956
10286,r006,All locations -> California,All locations,California,,2,22618185,3031984,4922483,8004585,5260830,1327279,71024
10286,r007,All locations -> Colorado,All locations,Colorado,,2,6229985,440675,562842,3864952,857333,487681,16502
10286,r008,All locations -> Connecticut,All locations,Connecticut,,2,2597155,122887,0,1635598,782764,17317,38588
10286,r009,All locations -> Delaware,All locations,Delaware,,2,306913,3322,5271,49600,238890,7805,2024
10286,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,39038621,35151327,190261,898844,274356,2514296,9536
10286,r011,All locations -> Florida,All locations,Florida,,2,4094695,869515,9988,1911274,1045856,236240,21823
10286,r012,All locations -> Georgia,All locations,Georgia,,2,1653954,262298,1227,183534,1133753,42809,30334
10286,r013,All locations -> Hawaii,All locations,Hawaii,,2,485890,202246,0,97776,163835,19686,2348
10286,r014,All locations -> Idaho,All locations,Idaho,,2,672104,47872,286824,262764,62150,3851,8643
10286,r015,All locations -> Illinois,All locations,Illinois,,2,3532719,227776,955130,649247,1531226,160557,8783
10286,r016,All locations -> Indiana,All locations,Indiana,,2,1080842,192813,0,176898,695567,1985,13579
