table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_r_d_total,field_r_d_industry_administered_ffrdcs,field_r_d_university_administered_ffrdcs,field_r_d_nonprofit_administered_ffrdcs,field_r_d_plant_total,field_r_d_plant_industry_administered_ffrdcs,field_r_d_plant_university_administered_ffrdcs,field_r_d_plant_nonprofit_administered_ffrdcs
6347,r001,All agencies,All agencies,,,,,1,13592916.5,4564149.1,5236725.2,3792042.2,1632873.5,30521.9,809760.0,792591.6
6347,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
6347,r003,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,34966.7,0.0,13762.2,21204.5,0.0,0.0,0.0,0.0
6347,r004,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,21204.5,0.0,0.0,21204.5,0.0,0.0,0.0,0.0
6347,r005,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,13762.2,0.0,13762.2,0.0,0.0,0.0,0.0,0.0
6347,r006,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,1863343.3,517780.1,366868.7,978694.4,0.0,0.0,0.0,0.0
6347,r007,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,109393.0,37586.8,38562.4,33243.7,0.0,0.0,0.0,0.0
6347,r008,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,4239.1,0.0,0.0,4239.1,0.0,0.0,0.0,0.0
6347,r009,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,370584.0,222859.3,23198.5,124526.2,0.0,0.0,0.0,0.0
6347,r010,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,290837.4,2576.6,27863.9,260397.0,0.0,0.0,0.0,0.0
