table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10435,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,7114,8443,8764,18.7,3.8
10435,r002,R&D and R&D plant -> Energy supply (271),R&D and R&D plant,Energy supply (271),,,,,2,7030,8361,8690,18.9,3.9
10435,r003,R&D and R&D plant -> Energy supply (271) -> Department of Energy,R&D and R&D plant,Energy supply (271),Department of Energy,,,,3,7002,8267,8602,18.1,4.1
10435,r004,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,,,4,6193,7578,7733,22.4,2.0
10435,r005,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Energy efficiency and renewable energy,,5,2756,4204,4354,52.5,3.6
10435,r006,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Fossil energy and carbon management<sup>a</sup>,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Fossil energy and carbon management<sup>a</sup>,,5,1907,1593,1615,-16.5,1.4
10435,r007,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Nuclear energy,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Nuclear energy,,5,1282,1495,1468,16.6,-1.8
10435,r008,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Electricity delivery,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Electricity delivery,,5,183,165,190,-9.8,15.2
10435,r009,"R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,"Cybersecurity, Energy Security, and Emergency Response",,5,65,121,106,86.0,-12.2
10435,r010,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,Energy supply (271),Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,,4,450,470,650,4.4,38.3
10435,r011,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Clean Energy Demonstration,R&D and R&D plant,Energy supply (271),Department of Energy,Clean Energy Demonstration,,,4,357,217,217,-39.2,0.0
10435,r012,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Bonneville Power Administration Fund,R&D and R&D plant,Energy supply (271),Department of Energy,Bonneville Power Administration Fund,,,4,2,2,2,0.0,0.0
10435,r013,R&D and R&D plant -> Energy supply (271) -> Tennessee Valley Authority,R&D and R&D plant,Energy supply (271),Tennessee Valley Authority,,,,3,28,94,88,235.7,-6.4
10435,r014,"R&D and R&D plant -> Energy information, policy, regulation (276)",R&D and R&D plant,"Energy information, policy, regulation (276)",,,,,2,84,82,74,-2.4,-9.8
10435,r015,"R&D and R&D plant -> Energy information, policy, regulation (276) -> Nuclear Regulatory Commission",R&D and R&D plant,"Energy information, policy, regulation (276)",Nuclear Regulatory Commission,,,,3,84,82,74,-2.4,-9.8
10435,r016,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,6340,6696,7669,5.6,14.5
10435,r017,R&D and R&D plant -> R&D -> Energy supply (271),R&D and R&D plant,R&D,Energy supply (271),,,,3,6256,6614,7595,5.7,14.8
10435,r018,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,,,4,6228,6520,7507,4.7,15.1
10435,r019,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,,5,5419,5831,6638,7.6,13.8
10435,r020,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Energy efficiency and renewable energy,6,2301,2517,3314,9.4,31.7
10435,r021,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Fossil energy and carbon management<sup>a</sup>,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Fossil energy and carbon management<sup>a</sup>,6,1682,1540,1560,-8.4,1.3
10435,r022,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Nuclear energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Nuclear energy,6,1238,1488,1468,20.2,-1.3
10435,r023,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Electricity delivery,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Electricity delivery,6,133,165,190,24.1,15.2
10435,r024,"R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,"Cybersecurity, Energy Security, and Emergency Response",6,65,121,106,86.0,-12.2
10435,r025,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,5,450,470,650,4.4,38.3
10435,r026,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Clean Energy Demonstration,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Clean Energy Demonstration,,5,357,217,217,-39.2,0.0
10435,r027,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Bonneville Power Administration Fund,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Bonneville Power Administration Fund,,5,2,2,2,0.0,0.0
10435,r028,R&D and R&D plant -> R&D -> Energy supply (271) -> Tennessee Valley Authority,R&D and R&D plant,R&D,Energy supply (271),Tennessee Valley Authority,,,4,28,94,88,235.7,-6.4
10435,r029,"R&D and R&D plant -> R&D -> Energy information, policy, regulation (276)",R&D and R&D plant,R&D,"Energy information, policy, regulation (276)",,,,3,84,82,74,-2.4,-9.8
10435,r030,"R&D and R&D plant -> R&D -> Energy information, policy, regulation (276) -> Nuclear Regulatory Commission",R&D and R&D plant,R&D,"Energy information, policy, regulation (276)",Nuclear Regulatory Commission,,,4,84,82,74,-2.4,-9.8
