table_id,row_id,step,matches_before_filtering,remaining_matches,matches_removed,percentage_of_matches_removed_by_filter_1
9400,r001,1,9751,9733,18,0.18
9400,r002,2,5537,,,
9400,r003,3,98,,,
9400,r004,4,42,,,
9400,r005,5,885,836,49,5.54
9400,r006,6,350,327,23,6.57
9400,r007,Total,16663,16550,113,0.67
