table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total,field_doe,field_nasa
10245,r001,All FFRDCs,All FFRDCs,,,1,2019120,2017103,2017
10245,r002,All FFRDCs -> Administered by industrial firms,All FFRDCs,Administered by industrial firms,,2,350805,350805,0
10245,r003,All FFRDCs -> Administered by industrial firms -> Idaho National Laboratory,All FFRDCs,Administered by industrial firms,Idaho National Laboratory,3,1233,1233,0
10245,r004,All FFRDCs -> Administered by industrial firms -> Lawrence Livermore National Laboratory,All FFRDCs,Administered by industrial firms,Lawrence Livermore National Laboratory,3,205760,205760,0
10245,r005,All FFRDCs -> Administered by industrial firms -> Los Alamos National Laboratory,All FFRDCs,Administered by industrial firms,Los Alamos National Laboratory,3,106251,106251,0
10245,r006,All FFRDCs -> Administered by industrial firms -> Sandia National Laboratories,All FFRDCs,Administered by industrial firms,Sandia National Laboratories,3,35431,35431,0
10245,r007,All FFRDCs -> Administered by industrial firms -> Savannah River National Laboratory,All FFRDCs,Administered by industrial firms,Savannah River National Laboratory,3,2129,2129,0
10245,r008,All FFRDCs -> Administered by universities and colleges<sup>a</sup>,All FFRDCs,Administered by universities and colleges<sup>a</sup>,,2,869479,867461,2017
10245,r009,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Ames Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Ames Laboratory,3,4250,4250,0
10245,r010,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Argonne National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Argonne National Laboratory,3,191555,191555,0
10245,r011,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Fermi National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Fermi National Accelerator Laboratory,3,312274,312274,0
10245,r012,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Jet Propulsion Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Jet Propulsion Laboratory,3,2017,0,2017
10245,r013,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Lawrence Berkeley National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Lawrence Berkeley National Laboratory,3,131138,131138,0
10245,r014,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Princeton Plasma Physics Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Princeton Plasma Physics Laboratory,3,14856,14856,0
10245,r015,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> SLAC National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,SLAC National Accelerator Laboratory,3,198439,198439,0
10245,r016,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Thomas Jefferson National Accelerator Facility,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Thomas Jefferson National Accelerator Facility,3,14949,14949,0
10245,r017,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup>,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,,2,798836,798836,0
10245,r018,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Brookhaven National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Brookhaven National Laboratory,3,119044,119044,0
10245,r019,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> National Renewable Energy Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,National Renewable Energy Laboratory,3,41696,41696,0
10245,r020,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Oak Ridge National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Oak Ridge National Laboratory,3,608849,608849,0
10245,r021,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Pacific Northwest National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Pacific Northwest National Laboratory,3,29247,29247,0
