table_id,row_id,transferred_from_agency_full_path,transferred_from_agency_level_1,transferred_from_agency_level_2,transferred_from_agency_level_3,transferred_from_agency_hierarchy_depth,field_dhs,field_doc,field_dod,field_doe,field_doi,field_doj,field_dol,field_dot,field_ed,field_hhs,field_nasa,field_nsf,field_usda,field_va,field_othera
10241,r001,All agencies,All agencies,,,1,36927,133897,35125143,422339,28288,4947,807,17561,162351,61428,40130,9649,609477,31455,1658940
10241,r002,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,,,,,,,
10241,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,0,0,0,0,0,0,0,0,0,497,0,0,497,61,0
10241,r004,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,9094,0,14285,3624,0,0,0,0.05,0,4579,1352,74,141,0,8149
10241,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,200,127861,3657991,199161,7041,3124,744,4931,160661,15014,11417,3652,607025,740,1416140
10241,r006,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,0,592,3375,21800,2856,0,0,0,0,455,1083,1575,589,0,2120
10241,r007,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,27449,1500,31279957,1978,0,1823,63,0,1586,450,11693,0,564,27578,185686
10241,r008,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,0,0,84019,29210,0,0,0,0,0,0,0,0,0,0,0
10241,r009,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,0,0.05,90,597,0,0,0,0,0,0,4915,249,661,0,544
10241,r010,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,3,161,0,0,0,0,0,0,0,0,277,277,0,0,0,11251
10241,r011,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,3,0,0,5125,0.05,0,0,0,0,104,26017,3516,0,0,3076,6592
10241,r012,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
10241,r013,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,,,,,,,
10241,r014,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5985
10241,r015,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,3,0,0,201,0,0,0,0,0.05,0,241,0,0,0,0,0
10241,r016,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,0,0,0,0.05,0,0,0,0,0,1261,0,0,0,0,1231
10241,r017,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,0.05,2253,78493,164802,18392,0,0,136,0,0.05,0,4099,0,0,13360
10241,r018,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,0,1665,1606,1044,0,0,0,0,0,75,150,0,0,0,3391
10241,r019,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,0,0,0,0,0,0,0,0,0,0,5727,0,0,0,1964
10241,r020,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,0,0,0,54,0,0,0,12453,0,12533,0,0,0,0,0.05
