table_id,row_id,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
3331,r001,All occupations,All occupations,,,,,,1,344350,113200,76200,68900,23450,62600
3331,r002,All occupations -> Female,All occupations,Female,,,,,2,132500,31900,29800,30800,10950,29050
3331,r003,All occupations -> Female -> Less than 10,All occupations,Female,Less than 10,,,,3,49550,700,5300,21900,5100,16550
3331,r004,All occupations -> Female -> 10&#8211;19,All occupations,Female,10&#8211;19,,,,3,43050,9050,16200,7150,3300,7350
3331,r005,All occupations -> Female -> 20&#8211;29,All occupations,Female,20&#8211;29,,,,3,26200,13550,6100,1450,1750,3300
3331,r006,All occupations -> Female -> 30 or more,All occupations,Female,30 or more,,,,3,13700,8600,2250,300,800,1800
3331,r007,All occupations -> Male,All occupations,Male,,,,,2,211850,81300,46400,38100,12500,33550
3331,r008,All occupations -> Male -> Less than 10,All occupations,Male,Less than 10,,,,3,58550,550,7300,27050,5400,18250
3331,r009,All occupations -> Male -> 10&#8211;19,All occupations,Male,10&#8211;19,,,,3,57650,15350,24300,8750,2750,6450
3331,r010,All occupations -> Male -> 20&#8211;29,All occupations,Male,20&#8211;29,,,,3,47450,29900,9400,1350,1800,4950
3331,r011,All occupations -> Male -> 30 or more,All occupations,Male,30 or more,,,,3,48250,35500,5400,950,2500,3900
3331,r012,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,,2,266300,86950,59550,55200,19050,45550
3331,r013,All occupations -> S&E occupations<sup>a</sup> -> Female,All occupations,S&E occupations<sup>a</sup>,Female,,,,3,94050,21800,21550,22650,8500,19500
3331,r014,All occupations -> S&E occupations<sup>a</sup> -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Female,Less than 10,,,4,36550,400,3550,16150,4100,12250
