table_id,row_id,_b_ffrdcs_b_full_path,_b_ffrdcs_b_level_1,_b_ffrdcs_b_level_2,_b_ffrdcs_b_level_3,_b_ffrdcs_b_hierarchy_depth,field_2019,field_2021,field_2023
11633,r001,All postdocs,All postdocs,,,1,3335,3637,3629
11633,r002,All postdocs -> University-administered FFRDCs,All postdocs,University-administered FFRDCs,,2,1398,1405,1428
11633,r003,All postdocs -> University-administered FFRDCs -> Ames Laboratory,All postdocs,University-administered FFRDCs,Ames Laboratory,3,34,42,43
11633,r004,All postdocs -> University-administered FFRDCs -> Argonne National Laboratory,All postdocs,University-administered FFRDCs,Argonne National Laboratory,3,310,331,369
11633,r005,All postdocs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All postdocs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,68,70,83
11633,r006,All postdocs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All postdocs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,na,3,2
11633,r007,All postdocs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All postdocs,University-administered FFRDCs,Jet Propulsion Laboratory,3,201,195,159
11633,r008,All postdocs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All postdocs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,509,507,517
11633,r009,All postdocs -> University-administered FFRDCs -> Lincoln Laboratory,All postdocs,University-administered FFRDCs,Lincoln Laboratory,3,4,5,0
11633,r010,All postdocs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory<sup>b</sup>,All postdocs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory<sup>b</sup>,3,1,4,9
11633,r011,All postdocs -> University-administered FFRDCs -> National Center for Atmospheric Research,All postdocs,University-administered FFRDCs,National Center for Atmospheric Research,3,59,48,52
11633,r012,All postdocs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All postdocs,University-administered FFRDCs,National Radio Astronomy Observatory,3,16,9,9
11633,r013,All postdocs -> University-administered FFRDCs -> National Solar Observatory,All postdocs,University-administered FFRDCs,National Solar Observatory,3,4,3,4
11633,r014,All postdocs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All postdocs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,36,39,29
11633,r015,All postdocs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All postdocs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,66,45,56
11633,r016,All postdocs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All postdocs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,90,104,96
11633,r017,All postdocs -> Nonprofit-administered FFRDCs,All postdocs,Nonprofit-administered FFRDCs,,2,959,1128,1059
11633,r018,All postdocs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All postdocs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,0,0,1
11633,r019,All postdocs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,159,173,174
11633,r020,All postdocs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All postdocs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,0,5,0
11633,r021,All postdocs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,46,60,71
11633,r022,All postdocs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All postdocs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,1,0,0
11633,r023,All postdocs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All postdocs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,189,195,211
11633,r024,All postdocs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,285,314,261
11633,r025,All postdocs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,278,342,303
11633,r026,All postdocs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,1,39,38
11633,r027,All postdocs -> Industry-administered FFRDCs,All postdocs,Industry-administered FFRDCs,,2,978,1104,1142
11633,r028,All postdocs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All postdocs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,15,8,10
11633,r029,All postdocs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All postdocs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,253,300,321
11633,r030,All postdocs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All postdocs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,459,456,478
11633,r031,All postdocs -> Industry-administered FFRDCs -> Sandia National Laboratories,All postdocs,Industry-administered FFRDCs,Sandia National Laboratories,3,251,340,333
