table_id,row_id,core_based_statistical_area_full_path,core_based_statistical_area_level_1,core_based_statistical_area_level_2,core_based_statistical_area_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2708,r001,All locations,All locations,,1,,"['441,036', '&nbsp;']","['377,806', '&nbsp;']","['63,230', '&nbsp;']"
2708,r002,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",,1,41940,"['67,394', '&nbsp;']","['62,670', '&nbsp;']","['4,725', '&nbsp;']"
2708,r003,"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Berkeley, CA",,1,41860,"['40,364', '&nbsp;']","['39,010', '&nbsp;']","['1,355', '&nbsp;']"
2708,r004,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",,1,35620,"['29,782', '&nbsp;']","['26,436', '&nbsp;']","['3,346', '&nbsp;']"
2708,r005,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",,1,42660,"['29,321', '&nbsp;']","['28,605', '&nbsp;']","['716', '&nbsp;']"
2708,r006,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",,1,14460,"['25,458', '&nbsp;']","['20,888', '&nbsp;']","['4,570', '&nbsp;']"
2708,r007,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",,1,19820,"['17,943', '&nbsp;']","['16,753', '&nbsp;']","['1,190', '&nbsp;']"
2708,r008,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,1,31080,"['16,565', '&nbsp;']","['11,380', '&nbsp;']","['5,186', 'i']"
2708,r009,"San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA",,1,41740,"['12,445', 'i']","['10,400', 'i']","['2,046', 'i']"
2708,r010,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,1,37980,"['11,780', '&nbsp;']","['9,483', '&nbsp;']","['2,297', '&nbsp;']"
2708,r011,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI",,1,16980,"['10,678', '&nbsp;']","['9,867', '&nbsp;']","['812', '&nbsp;']"
2708,r012,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",,1,38900,"['8,451', '&nbsp;']","['8,226', '&nbsp;']","['226', '&nbsp;']"
2708,r013,"Austin-Round Rock-Georgetown, TX","Austin-Round Rock-Georgetown, TX",,1,12420,"['7,812', 'i']","['7,066', 'i']","['745', '&nbsp;']"
2708,r014,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",,1,19100,"['7,180', '&nbsp;']","['5,926', '&nbsp;']","['1,253', 'i']"
2708,r015,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",,1,47900,"['7,092', '&nbsp;']","['4,799', '&nbsp;']","['2,293', '&nbsp;']"
2708,r016,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",,1,33460,"['6,757', '&nbsp;']","['6,365', '&nbsp;']","['391', '&nbsp;']"
2708,r017,"St. Louis, MO-IL","St. Louis, MO-IL",,1,41180,"['5,918', '&nbsp;']","['2,823', '&nbsp;']","['3,095', 'i']"
2708,r018,"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",,1,26900,"['4,750', '&nbsp;']","['3,937', '&nbsp;']","['814', '&nbsp;']"
2708,r019,"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",,1,26420,"['4,540', '&nbsp;']","['4,023', '&nbsp;']","['516', '&nbsp;']"
2708,r020,"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ",,1,38060,"['4,437', 'i']","['3,606', 'i']","['830', 'i']"
2708,r021,"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",,1,20500,"['4,430', '&nbsp;']","['2,498', '&nbsp;']","['1,933', '&nbsp;']"
2708,r022,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA",,1,12060,"['4,172', '&nbsp;']","['3,265', '&nbsp;']","['906', '&nbsp;']"
2708,r023,"Norwich-New London, CT","Norwich-New London, CT",,1,35980,"['3,914', '&nbsp;']","[' 2,154 - 3,915', '&nbsp;']","[' 0 - 1,760', '&nbsp;']"
2708,r024,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",,1,17140,"['3,643', '&nbsp;']","['2,764', '&nbsp;']","['879', '&nbsp;']"
2708,r025,"Raleigh-Cary, NC","Raleigh-Cary, NC",,1,39580,"['3,465', '&nbsp;']","['2,131', '&nbsp;']","['1,334', '&nbsp;']"
