table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_company_performed_r_d_us_millions_worldwide,field_company_performed_r_d_us_millions_domestic,field_company_performed_r_d_us_millions_foreign,field_r_d_employment_thousands_worldwide,field_r_d_employment_thousands_domestic,field_r_d_employment_thousands_foreign,field_company_performed_r_d_per_r_d_employee_us_thousands_per_employee_worldwide,field_company_performed_r_d_per_r_d_employee_us_thousands_per_employee_domestic,field_company_performed_r_d_per_r_d_employee_us_thousands_per_employee_foreign
9691,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['737,911', '  ']","['602,499', '  ']","['135,412', '  ']","['3,161', '  ']","['2,132', '  ']","['1,029', '  ']","['233.4', '  ']","['282.6', '  ']","['131.6', '  ']"
9691,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['404,449', '  ']","['326,060', '  ']","['78,389', '  ']","['1,524', '  ']","['1,015', '  ']","['510', '  ']","['265.3', '  ']","['321.3', '  ']","['153.8', '  ']"
9691,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['6,456', '  ']","['5,266', '  ']","['1,190', '  ']","['40', '  ']","['27', '  ']","['13', '  ']","['160.7', '  ']","['194.7', '  ']","['90.6', '  ']"
9691,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['2,139', '  ']","['1,247', '  ']","['893', '  ']","['8', '  ']","['5', '  ']","['3', '  ']","['259.8', '  ']","['257.8', '  ']","['262.8', '  ']"
9691,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['997', '  ']","['829', '  ']","['169', '  ']","['9', '  ']","['7', '  ']","['2', '  ']","['114.6', '  ']","['126.6', '  ']","['78.2', '  ']"
9691,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['447', '  ']","['444', '  ']","['4', '  ']","['6', '  ']","['6', '  ']","['*', '  ']","['73.4', '  ']","['73.6', '  ']","['59.0', '  ']"
9691,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,206', '  ']","['1,139', '  ']","['67', '  ']","['8', '  ']","['6', '  ']","['2', '  ']","['149.5', '  ']","['182.7', '  ']","['36.7', '  ']"
9691,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['231', '  ']","['204', 'i ']","['27', '  ']","['3', '  ']","['3', '  ']","['*', '  ']","['76.0', '  ']","['75.1', '  ']","['83.4', '  ']"
9691,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,131', '  ']","['957', '  ']","['175', '  ']","['7', '  ']","['5', '  ']","['2', '  ']","['163.8', '  ']","['187.9', '  ']","['96.4', '  ']"
9691,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['133,231', '  ']","['109,490', '  ']","['23,741', '  ']","['278', '  ']","['201', '  ']","['77', '  ']","['479.5', '  ']","['546.0', '  ']","['307.1', '  ']"
9691,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['3,710', '  ']","['2,713', '  ']","['997', '  ']","['19', '  ']","['12', '  ']","['8', '  ']","['190.3', '  ']","['231.6', '  ']","['128.2', '  ']"
9691,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,969', 'i ']","['1,389', 'i ']","['580', 'i ']","['10', '  ']","['6', '  ']","['4', '  ']","['191.9', '  ']","['214.4', '  ']","['153.3', '  ']"
9691,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,279', '  ']","['1,157', '  ']","['123', '  ']","['5', '  ']","['5', '  ']","['1', '  ']","['247.0', '  ']","['255.7', '  ']","['186.8', '  ']"
9691,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['121,157', '  ']","['100,220', '  ']","['20,936', '  ']","['211', '  ']","['157', '  ']","['54', '  ']","['573.3', '  ']","['637.9', '  ']","['386.1', '  ']"
9691,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['3,611', '  ']","['2,740', '  ']","['871', '  ']","['18', '  ']","['11', '  ']","['6', '  ']","['202.6', '  ']","['241.0', '  ']","['134.9', '  ']"
9691,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,505', '  ']","['1,271', '  ']","['234', '  ']","['14', '  ']","['9', '  ']","['4', '  ']","['109.4', '  ']","['136.0', '  ']","['53.1', '  ']"
9691,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,752', '  ']","['3,144', '  ']","['607', '  ']","['29', '  ']","['23', '  ']","['6', '  ']","['129.4', '  ']","['135.6', '  ']","['104.9', '  ']"
9691,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,731', '  ']","['1,533', '  ']","['198', '  ']","['9', '  ']","['8', '  ']","['1', '  ']","['182.8', '  ']","['186.0', '  ']","['161.7', '  ']"
9691,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['963', '  ']","['912', '  ']","['50', 'i ']","['10', '  ']","['9', '  ']","['1', '  ']","['95.7', '  ']","['96.5', '  ']","['82.5', '  ']"
9691,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4,669', '  ']","['4,291', '  ']","['378', '  ']","['52', '  ']","['50', '  ']","['2', '  ']","['90.0', '  ']","['86.4', '  ']","['170.8', '  ']"
9691,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['23,073', '  ']","['17,730', '  ']","['5,343', '  ']","['159', '  ']","['100', '  ']","['59', '  ']","['145.3', '  ']","['176.9', '  ']","['91.1', '  ']"
9691,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['2,774', '  ']","['1,867', '  ']","['907', '  ']","['17', '  ']","['10', '  ']","['7', '  ']","['167.3', '  ']","['191.6', '  ']","['132.5', '  ']"
9691,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['6,648', '  ']","['5,349', '  ']","['1,299', '  ']","['27', '  ']","['14', '  ']","['13', '  ']","['242.9', '  ']","['373.1', '  ']","['99.7', '  ']"
9691,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,920', '  ']","['1,374', '  ']","['546', '  ']","['11', '  ']","['8', '  ']","['3', '  ']","['173.5', '  ']","['176.9', '  ']","['165.5', '  ']"
