table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5552,r001,R&D and R&D plant,R&D and R&D plant,,,,1,522,567,606,8.5,6.9
5552,r002,R&D and R&D plant -> Federal law enforcement activities (751),R&D and R&D plant,Federal law enforcement activities (751),,,2,495,540,579,9.0,7.3
5552,r003,R&D and R&D plant ->    Department of Homeland Security,R&D and R&D plant,   Department of Homeland Security,,,2,495,540,579,9.0,7.3
5552,r004,R&D and R&D plant -> Federal correctional activities (753),R&D and R&D plant,Federal correctional activities (753),,,2,5,5,5,0.0,0.0
5552,r005,R&D and R&D plant ->    Department of Justice,R&D and R&D plant,   Department of Justice,,,2,5,5,5,0.0,0.0
5552,r006,R&D and R&D plant ->    Department of Justice ->    Federal Prison System,R&D and R&D plant,   Department of Justice,   Federal Prison System,,3,5,5,5,0.0,0.0
5552,r007,R&D and R&D plant -> Criminal justice assistance (754),R&D and R&D plant,Criminal justice assistance (754),,,2,22,22,22,0.0,0.0
5552,r008,R&D and R&D plant ->    Department of Justice,R&D and R&D plant,   Department of Justice,,,2,22,22,22,0.0,0.0
5552,r009,R&D and R&D plant ->    Department of Justice ->    Office of Justice Programs,R&D and R&D plant,   Department of Justice,   Office of Justice Programs,,3,22,22,22,0.0,0.0
5552,r010,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,522,548,597,4.9,9.0
5552,r011,R&D and R&D plant ->    Federal law enforcement activities (751),R&D and R&D plant,   Federal law enforcement activities (751),,,2,495,521,570,5.1,9.5
5552,r012,R&D and R&D plant ->    Federal law enforcement activities (751) ->    Department of Homeland Security,R&D and R&D plant,   Federal law enforcement activities (751),   Department of Homeland Security,,3,495,521,570,5.1,9.5
5552,r013,R&D and R&D plant ->    Federal correctional activities (753),R&D and R&D plant,   Federal correctional activities (753),,,2,5,5,5,0.0,0.0
5552,r014,R&D and R&D plant ->    Federal correctional activities (753) ->    Department of Justice,R&D and R&D plant,   Federal correctional activities (753),   Department of Justice,,3,5,5,5,0.0,0.0
5552,r015,R&D and R&D plant ->    Federal correctional activities (753) ->    Department of Justice ->    Federal Prison System,R&D and R&D plant,   Federal correctional activities (753),   Department of Justice,   Federal Prison System,4,5,5,5,0.0,0.0
5552,r016,R&D and R&D plant ->    Criminal justice assistance (754),R&D and R&D plant,   Criminal justice assistance (754),,,2,22,22,22,0.0,0.0
5552,r017,R&D and R&D plant ->       Department of Justice,R&D and R&D plant,      Department of Justice,,,2,22,22,22,0.0,0.0
5552,r018,R&D and R&D plant ->       Department of Justice ->    Office of Justice Programs,R&D and R&D plant,      Department of Justice,   Office of Justice Programs,,3,22,22,22,0.0,0.0
