table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022,field_2023_preliminary_
10824,r001,All fields,All fields,,,1,45392702,48467014
10824,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,2297975,2430647
10824,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,3441026,3991137
10824,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,557055,NA
10824,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,301619,NA
10824,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,518836,NA
10824,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,2063516,NA
10824,r008,All fields -> Life sciences,All fields,Life sciences,,2,19051906,20388014
10824,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,648071,NA
10824,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,9780292,NA
10824,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,6611208,NA
10824,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,44034,NA
10824,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1968301,NA
10824,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,608303,615566
10824,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,9449069,9750710
10824,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,1112416,NA
10824,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,1259787,NA
10824,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,354766,NA
10824,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,2657930,NA
10824,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,4064171,NA
10824,r021,All fields -> Psychology,All fields,Psychology,,2,2287935,2433629
10824,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,18240,NA
10824,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,13872,NA
10824,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,2255823,NA
10824,r025,All fields -> Social sciences,All fields,Social sciences,,2,765995,822119
10824,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,36142,NA
10824,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,58014,NA
10824,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,126,NA
10824,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,33158,NA
10824,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,638555,NA
10824,r031,All fields -> Engineering,All fields,Engineering,,2,3738817,3923050
10824,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,292696,NA
10824,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,84152,NA
10824,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,124326,NA
10824,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,70467,NA
10824,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,211045,NA
10824,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,45372,NA
10824,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,134990,NA
10824,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,201087,NA
10824,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2574682,NA
10824,r041,All fields -> Other fields,All fields,Other fields,,2,3751677,4112141
10824,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,26968,NA
10824,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,515,NA
10824,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,356719,NA
10824,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,1,NA
10824,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,6135,NA
10824,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10824,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10824,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,3361340,NA
