table_id,row_id,design_class_full_path,design_class_level_1,design_class_level_2,design_class_hierarchy_depth,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1946,r001,All classes,All classes,,1,9893,9638,11256,10330,9277,9994,9209,7523,11645,13380,13598,11966,12539,11695,12361,13194,13320,14194,15989,17410,16490
1946,r002,All classes -> Edible Products,All classes,Edible Products,2,32,38,46,40,36,33,88,56,109,42,39,85,62,70,29,60,82,40,70,83,65
1946,r003,All classes -> Apparel and Haberdashery ,All classes,Apparel and Haberdashery ,2,606,479,416,406,349,430,423,336,635,667,707,644,691,725,712,730,665,752,1009,1580,1171
1946,r004,"All classes -> Travel Goods, Personal Belongings, and Storage or Carrying Articles ",All classes,"Travel Goods, Personal Belongings, and Storage or Carrying Articles ",2,333,398,368,387,346,362,344,289,457,423,406,408,468,389,437,443,464,502,579,577,582
1946,r005,All classes -> Brushware ,All classes,Brushware ,2,94,75,101,103,150,99,56,61,93,75,122,93,76,76,99,95,85,86,157,133,142
1946,r006,All classes -> Textile or Paper Yard Goods; Sheet Material ,All classes,Textile or Paper Yard Goods; Sheet Material ,2,38,32,63,50,27,19,50,37,69,58,37,37,68,103,108,74,83,59,81,76,64
1946,r007,All classes -> Furnishings ,All classes,Furnishings ,2,1050,1057,1217,1223,1105,1084,1050,773,1116,1396,1304,1078,1010,865,1108,991,990,941,889,1110,1020
1946,r008,All classes -> Equipment for Preparing or Serving Food or Drink Not Elsewhere Specified ,All classes,Equipment for Preparing or Serving Food or Drink Not Elsewhere Specified ,2,482,472,625,615,479,593,552,454,689,862,866,717,926,729,858,917,798,866,868,1051,1204
1946,r009,All classes -> Tools and Hardware ,All classes,Tools and Hardware ,2,755,691,861,586,574,688,729,512,776,963,1046,825,760,735,689,629,834,882,913,941,923
1946,r010,All classes -> Packages and Containers for Goods ,All classes,Packages and Containers for Goods ,2,467,482,609,627,486,610,453,497,704,827,871,863,936,856,871,863,831,880,928,880,913
1946,r011,"All classes -> Measuring, Testing, or Signaling Instruments ",All classes,"Measuring, Testing, or Signaling Instruments ",2,409,330,329,362,288,248,247,253,303,334,406,323,292,275,304,253,331,400,354,354,309
1946,r012,"All classes -> Jewelry, Symbolic Insignia, and Ornaments ",All classes,"Jewelry, Symbolic Insignia, and Ornaments ",2,273,234,233,270,252,224,232,195,270,287,300,247,251,270,305,293,364,368,335,409,319
1946,r013,All classes -> Transportation ,All classes,Transportation ,2,689,630,783,683,619,634,752,484,708,812,745,663,720,555,563,675,748,852,927,1144,1205
1946,r014,"All classes -> Equipment for Production, Distribution, or Transformation of Energy ",All classes,"Equipment for Production, Distribution, or Transformation of Energy ",2,252,321,324,255,302,300,223,231,438,472,511,450,450,452,441,497,561,585,571,564,632
1946,r015,"All classes -> Recording, Communication, or Information Retrieval Equipment ",All classes,"Recording, Communication, or Information Retrieval Equipment ",2,693,636,762,661,636,734,618,486,862,1064,1158,1227,1096,1050,1189,1670,1580,1699,2609,2382,1995
1946,r016,All classes -> Machines Not Elsewhere Specified ,All classes,Machines Not Elsewhere Specified ,2,178,186,240,207,212,199,193,174,260,337,270,208,249,248,278,323,319,379,393,390,381
1946,r017,All classes -> Photography and Optical Equipment ,All classes,Photography and Optical Equipment ,2,147,144,170,105,74,141,90,76,97,208,151,178,162,122,178,189,304,241,302,243,237
1946,r018,All classes -> Musical Instruments ,All classes,Musical Instruments ,2,34,36,17,27,24,40,22,15,43,32,56,33,38,39,30,30,32,42,49,53,47
1946,r019,All classes -> Printing and Office Machinery,All classes,Printing and Office Machinery,2,57,93,104,68,64,98,59,46,105,125,84,61,79,98,46,72,37,33,42,40,45
1946,r020,All classes -> Office Supplies; Artists' and Teachers' Materials,All classes,Office Supplies; Artists' and Teachers' Materials,2,188,211,206,193,176,184,207,162,217,248,310,192,183,205,196,213,211,161,184,163,158
