table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_s_e_fields_total,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_and_related_sciences,field_s_e_fields_social_and_related_sciences,field_s_e_fields_engineering,field_s_e_related_fields,field_non_s_e_fields
6843,r001,All college graduates,All college graduates,,,,1,48223000,14501000,2290000,2567000,814000,5336000,3494000,6870000,26852000
6843,r002,All college graduates -> S&E occupations,All college graduates,S&E occupations,,,2,6769000,5085000,633000,1437000,366000,679000,1970000,382000,1301000
6843,r003,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",,3,610000,506000,416000,4000,38000,18000,30000,71000,33000
6843,r004,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,4,41000,38000,34000,,2000,0.05,1000,S,3000
6843,r005,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,4,455000,370000,298000,3000,33000,11000,26000,63000,22000
6843,r006,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,4,27000,22000,17000,,,S,0.05,,5000
6843,r007,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,4,87000,76000,67000,,3000,S,4000,8000,3000
6843,r008,All college graduates -> S&E occupations -> Computer and mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,,3,3419000,2365000,95000,1373000,62000,234000,601000,180000,874000
6843,r009,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Computer and information scientists,4,3096000,2165000,75000,1255000,55000,202000,578000,157000,774000
6843,r010,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Mathematical scientists,4,209000,112000,17000,47000,4000,30000,14000,10000,87000
