table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10825,r001,All agencies,All agencies,,,,,1,45392702,2297975,3441026,19051906,608303,9449069,2287935,765995,3738817,3751677
10825,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10825,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1417114,7031,11619,1198472,3343,73097,311,33980,54998,34263
10825,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,825287,1073,3631,758191,0,52983,0,1981,7428,0
10825,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,23598,0,0,23598,0,0,0,0,0,0
10825,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,85255,0,2687,65152,0,3610,0,9701,4104,0
10825,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,468236,5958,5300,336793,3343,16503,311,22299,43466,34263
10825,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,14738,0,0,14738,0,0,0,0,0,0
10825,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,273297,11617,1000,14202,4034,199003,0,0,43442,0
10825,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,273297,11617,1000,14202,4034,199003,0,0,43442,0
10825,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,3149547,471897,171672,299038,70378,194370,38702,26950,1034268,842272
10825,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,440129,254990,15976,105736,5188,11273,4887,0,34674,7406
10825,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,10713,0,0,10713,0,0,0,0,0,0
10825,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,969884,29162,0,9326,6142,44200,401,2452,457642,420558
10825,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,513592,66744,4851,102281,10843,39188,18381,2461,40883,227960
10825,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,661985,47081,134285,42994,11250,60246,8489,6248,204400,146993
10825,r017,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,70945,0,0,0,0,0,0,0,70945,0
10825,r018,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,482300,73920,16561,27988,36954,39463,6544,15789,225725,39355
10825,r019,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,31589,0,0,0,0,0,0,0,0,31589
10825,r020,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,6107867,1012161,272035,527670,53106,3741232,0,0,40103,461560
10825,r021,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,7920,0,0,0,0,0,0,0,7920,0
10825,r022,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,121426,1537,2445,983,4862,105108,0,0,491,6000
10825,r023,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,121426,1537,2445,983,4862,105108,0,0,491,6000
10825,r024,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,5126,5126,0,0,0,0,0,0,0,0
10825,r025,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,5973395,1005499,269590,526687,48244,3636124,0,0,31691,455560
10825,r026,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,22410508,2403,300648,15404442,210184,534395,2214757,472698,1701044,1569937
10825,r027,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,89675,2403,0,58077,87,1646,408,84,11620,15349
10825,r028,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,419105,0,0,419105,0,0,0,0,0,0
10825,r029,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,2455,0,0,2455,0,0,0,0,0,0
10825,r030,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,21899274,0,300648,14924805,210097,532749,2214349,472614,1689424,1554588
10825,r031,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,69204,17003,10007,2118,0,5358,0,0,25707,9010
10825,r032,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,8720,1919,0,1500,0,5301,0,0,0,0
10825,r033,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,60235,14834,10007,618,0,58,0,0,25707,9010
10825,r034,All agencies -> Departments -> Department of Homeland Security -> Secret Service,All agencies,Departments,Department of Homeland Security,Secret Service,,4,250,250,0,0,0,0,0,0,0,0
10825,r035,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,93945,0,58354,34386,0,748,0,0,458,0
10825,r036,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,2004,0,0,2004,0,0,0,0,0,0
10825,r037,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,1286,0,81,0,0,748,0,0,458,0
10825,r038,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,90655,0,58273,32382,0,0,0,0,0,0
10825,r039,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,16931,0,0,0,0,500,1000,15431,0,0
10825,r040,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,16931,0,0,0,0,500,1000,15431,0,0
10825,r041,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,7000,0,0,0,0,0,0,7000,0,0
10825,r042,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,2117,21,0,0,0,445,0,265,840,546
10825,r043,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,21,21,0,0,0,0,0,0,0,0
10825,r044,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,2096,0,0,0,0,445,0,265,840,546
10825,r045,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,665094,0,0,665094,0,0,0,0,0,0
10825,r046,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,,
