table_id,row_id,citizenship_sex_and_field_full_path,citizenship_sex_and_field_level_1,citizenship_sex_and_field_level_2,citizenship_sex_and_field_level_3,citizenship_sex_and_field_level_4,citizenship_sex_and_field_level_5,citizenship_sex_and_field_level_6,citizenship_sex_and_field_level_7,citizenship_sex_and_field_level_8,citizenship_sex_and_field_level_9,citizenship_sex_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1566,r136,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Aerospace,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Aerospace,,,,6,125,101,77,72,73,91,80,108,103,137,122,130,163,169,208,194,208,214
1566,r137,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Chemical,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Chemical,,,,6,364,357,354,295,340,360,423,373,417,437,469,440,442,428,520,564,559,563
1566,r138,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Civil,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Civil,,,,6,319,300,273,283,257,296,296,359,330,348,347,353,366,410,465,535,468,470
1566,r139,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Electrical,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Electrical,,,,6,641,587,506,478,531,567,560,645,704,711,757,815,847,813,822,855,810,746
1566,r140,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Industrial,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Industrial,,,,6,104,109,115,93,119,107,117,129,125,112,116,124,124,133,136,111,126,142
1566,r141,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Materials,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Materials,,,,6,240,217,172,198,205,191,242,286,284,281,316,283,363,348,348,374,415,437
1566,r142,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Mechanical,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Mechanical,,,,6,384,414,335,336,307,338,388,376,406,472,425,505,556,614,643,683,680,654
1566,r143,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Engineering -> Other,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Engineering,Other,,,,6,479,477,429,482,515,502,608,718,811,876,955,1063,1065,1208,1309,1304,1336,1348
1566,r144,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Science,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Science,,,,,5,16745,16820,16849,17494,18789,20661,22102,24289,24414,24379,20599,21583,22167,23086,24334,24718,25020,25563
1566,r145,U.S. citizen or permanent resident -> Both sexes -> All fields -> S&E -> Science -> Natural sciences,U.S. citizen or permanent resident,Both sexes,All fields,S&E,Science,Natural sciences,,,,6,9779,9682,10048,10765,11872,13661,15139,17116,17248,17699,14237,14614,15112,15546,16333,16579,17091,17659
