table_id,row_id,_b_occupation_category_b_full_path,_b_occupation_category_b_level_1,_b_occupation_category_b_level_2,_b_occupation_category_b_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations_,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2021_all_organizations_,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2022_all_organizations_,field_type_of_nonprofit_organizationa_fy_2022_healthcare,field_type_of_nonprofit_organizationa_fy_2022_science_and_technology,field_type_of_nonprofit_organizationa_fy_2022_other_nonprofit_organizations_
12376,r001,All R&D employees ,All R&D employees ,,1,"['200,719', '  ']","['124,011', '  ']","['57,131', '  ']","['19,577', '  ']","['186,198', '  ']","['113,743', '  ']","['54,983', '  ']","['17,473', '  ']","['198,389', '  ']","['128,134', 'i ']","['57,235', '  ']","['13,020', '  ']"
12376,r002,All R&D employees  -> Researchers,All R&D employees ,Researchers,2,"['77,111', '  ']","['44,942', '  ']","['23,572', '  ']","['8,598', '  ']","['75,690', '  ']","['43,852', '  ']","['24,373', '  ']","['7,466', '  ']","['89,512', '  ']","['56,475', 'i ']","['25,585', '  ']","['7,451', '  ']"
12376,r003,All R&D employees  -> Technicians,All R&D employees ,Technicians,2,"['67,434', '  ']","['41,681', '  ']","['20,934', '  ']","['4,819', '  ']","['63,832', '  ']","['41,600', 'i ']","['18,316', '  ']","['3,916', '  ']","['68,072', '  ']","['46,581', '  ']","['18,438', '  ']","['3,053', '  ']"
12376,r004,All R&D employees  -> Other support personnel,All R&D employees ,Other support personnel,2,"['56,174', '  ']","['37,388', '  ']","['12,626', '  ']","['6,160', '  ']","['46,676', '  ']","['28,291', '  ']","['12,294', '  ']","['6,090', '  ']","['40,805', '  ']","['25,078', '  ']","['13,212', '  ']","['2,515', '  ']"
