table_id,row_id,institution,rank,totala,male,female
7570,r001,Walden U.,1,846,273,573
7570,r002,Stanford U.,2,815,508,305
7570,r003,"U. Michigan, Ann Arbor",3,797,431,366
7570,r004,"U. California, Berkeley",4,787,484,303
7570,r005,"Purdue U., West Lafayette",5,776,483,293
7570,r006,"Texas A&M U., College Station and Health Science Center",6,766,470,295
7570,r007,"Ohio State U., Columbus",7,713,388,325
7570,r008,U. Florida,8,711,376,335
7570,r009,"U. Texas, Austin",9,667,379,288
7570,r010,U. Wisconsin-Madison,10,664,387,277
7570,r011,"U. Illinois, Urbana-Champaign",11,662,394,268
7570,r012,"U. California, Los Angeles",12,639,368,271
7570,r013,"U. Washington, Seattle",13,632,355,277
7570,r014,Pennsylvania State U.,14,629,329,300
7570,r015,"U. Minnesota, Twin Cities",15,626,362,264
7570,r016,Harvard U.,16,621,346,275
7570,r017,Columbia U. in the City of New York,17,585,325,260
7570,r018,Massachusetts Institute of Technology,18,568,401,167
7570,r019,Georgia Institute of Technology,19,563,400,163
7570,r020,Arizona State U.,20,508,307,201
7570,r021,North Carolina State U.,21,505,294,211
7570,r022,"U. Maryland, College Park",22,502,260,241
7570,r023,"U. California, San Diego",23,490,300,190
7570,r024,Michigan State U.,24,478,258,220
7570,r025,Cornell U.,25,472,267,205
7570,r026,"U. California, Davis",26,465,236,229
7570,r027,Virginia Polytechnic Institute and State U.,26,465,285,180
7570,r028,U. Chicago,28,455,277,178
7570,r029,U. Pennsylvania,28,455,246,209
7570,r030,"U. North Carolina, Chapel Hill",30,433,201,232
7570,r031,Northwestern U.,31,428,257,170
7570,r032,Johns Hopkins U.,32,423,220,203
7570,r033,Yale U.,33,410,239,170
7570,r034,U. Georgia,34,400,185,215
7570,r035,U. Southern California,35,397,223,174
7570,r036,U. Colorado Boulder,36,394,251,143
7570,r037,"U. California, Irvine",37,393,217,176
7570,r038,New York U.,38,385,208,177
7570,r039,Duke U.,39,384,235,149
7570,r040,U. Arizona,40,380,205,174
7570,r041,"Indiana U., Bloomington",41,375,188,187
7570,r042,Texas Tech U.,41,375,181,194
7570,r043,"U. Pittsburgh, Pittsburgh",43,353,181,172
7570,r044,"Rutgers, State U. New Jersey, New Brunswick",44,342,187,155
7570,r045,"SUNY, U. Buffalo",45,340,190,150
7570,r046,"U. Tennessee, Knoxville",45,340,189,151
7570,r047,U. Houston,47,338,182,156
7570,r048,"CUNY, Graduate Center",48,337,142,195
7570,r049,Florida State U.,49,333,181,152
7570,r050,Iowa State U.,50,325,202,123
