table_id,row_id,_b_source_of_funds_and_r_d_field_b_full_path,_b_source_of_funds_and_r_d_field_b_level_1,_b_source_of_funds_and_r_d_field_b_level_2,_b_source_of_funds_and_r_d_field_b_level_3,_b_source_of_funds_and_r_d_field_b_hierarchy_depth,field_all_institutions,field_survey_population_short_form,field_survey_population_standard_form
5385,r001,All R&D expenditures,All R&D expenditures,,,1,86435054,138876,86296178
5385,r002,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,,2,46220254,76425,46143829
5385,r003,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,,2,4605307,8674,4596633
5385,r004,All R&D expenditures -> Institution funds,All R&D expenditures,Institution funds,,2,21979735,32945,21946790
5385,r005,All R&D expenditures -> Institution funds -> Institutionally financed research,All R&D expenditures,Institution funds,Institutionally financed research,3,14597258,27247,14570011
5385,r006,All R&D expenditures -> Institution funds -> Cost sharing,All R&D expenditures,Institution funds,Cost sharing,3,1635950,2267,1633683
5385,r007,All R&D expenditures -> Institution funds -> Unrecovered indirect costs,All R&D expenditures,Institution funds,Unrecovered indirect costs,3,5746527,3431,5743096
5385,r008,All R&D expenditures -> Business,All R&D expenditures,Business,,2,5189184,4259,5184925
5385,r009,All R&D expenditures -> Nonprofit organizations,All R&D expenditures,Nonprofit organizations,,2,5758485,13247,5745238
5385,r010,All R&D expenditures -> All other sources,All R&D expenditures,All other sources,,2,2682089,3326,2678763
5385,r011,All R&D expenditures -> Science,All R&D expenditures,Science,,2,67676060,108253,67567807
5385,r012,All R&D expenditures -> Science -> Computer and information sciences,All R&D expenditures,Science,Computer and information sciences,3,2928917,5768,2923149
5385,r013,"All R&D expenditures -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D expenditures,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,3289490,8239,3281251
5385,r014,All R&D expenditures -> Science -> Life sciences,All R&D expenditures,Science,Life sciences,3,49686304,45796,49640508
5385,r015,All R&D expenditures -> Science -> Mathematics and statistics,All R&D expenditures,Science,Mathematics and statistics,3,802304,3329,798975
5385,r016,All R&D expenditures -> Science -> Physical sciences,All R&D expenditures,Science,Physical sciences,3,5685418,18372,5667046
5385,r017,All R&D expenditures -> Science -> Psychology,All R&D expenditures,Science,Psychology,3,1360784,3703,1357081
5385,r018,All R&D expenditures -> Science -> Social sciences,All R&D expenditures,Science,Social sciences,3,2966569,19231,2947338
5385,r019,All R&D expenditures -> Science -> Sciences nec,All R&D expenditures,Science,Sciences nec,3,956274,3815,952459
5385,r020,All R&D expenditures -> Engineering,All R&D expenditures,Engineering,,2,13699307,6551,13692756
5385,r021,All R&D expenditures -> Non-S&E,All R&D expenditures,Non-S&E,,2,5059687,24072,5035615
