table_id,row_id,highest_degree_and_occupation_full_path,highest_degree_and_occupation_level_1,highest_degree_and_occupation_level_2,highest_degree_and_occupation_level_3,highest_degree_and_occupation_level_4,highest_degree_and_occupation_level_5,highest_degree_and_occupation_level_6,highest_degree_and_occupation_hierarchy_depth,field_all_ethnicities_and_races,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3313,r001,All degrees<sup>b</sup>,All degrees<sup>b</sup>,,,,,,1,28627000,2646000,89000,3869000,2065000,82000,19225000,650000
3313,r002,All degrees<sup>b</sup> -> S&E occupations,All degrees<sup>b</sup>,S&E occupations,,,,,2,7466000,564000,S,1543000,379000,17000,4784000,158000
3313,r003,All degrees<sup>b</sup> -> S&E occupations -> Science occupations,All degrees<sup>b</sup>,S&E occupations,Science occupations,,,,3,5545000,405000,S,1212000,302000,9000,3479000,121000
3313,r004,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist",All degrees<sup>b</sup>,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",,,4,698000,64000,1000,157000,23000,,439000,14000
3313,r005,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Agricultural/ food scientist",All degrees<sup>b</sup>,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Agricultural/ food scientist,,5,58000,10000,,9000,2000,,36000,
3313,r006,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Biological and medical scientist",All degrees<sup>b</sup>,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Biological and medical scientist,,5,500000,40000,S,130000,18000,,300000,12000
3313,r007,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Environmental life scientist",All degrees<sup>b</sup>,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Environmental life scientist,,5,39000,S,,S,,,29000,S
3313,r008,"All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Postsecondary teacher",All degrees<sup>b</sup>,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Postsecondary teacher,,5,101000,7000,,18000,2000,,74000,S
3313,r009,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,,,4,3409000,214000,S,885000,189000,6000,2017000,84000
3313,r010,All degrees<sup>b</sup> -> S&E occupations -> Science occupations -> Computer and information scientist -> Computer/ information scientist,All degrees<sup>b</sup>,S&E occupations,Science occupations,Computer and information scientist,Computer/ information scientist,,5,3379000,210000,S,877000,188000,6000,2000000,83000
