table_id,row_id,u_s_states_full_path,u_s_states_level_1,u_s_states_level_2,u_s_states_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10579,r001,Total,Total,,1,1992,2338,2635,2971,3842,4069,3779,4468,5454,6438,7897,8657,9093,8668,9543,10324,11310,11507,15977,15453
10579,r002,Total -> Alabama,Total,Alabama,2,7,10,5,7,10,9,17,12,14,16,14,12,13,16,22,27,32,35,56,44
10579,r003,Total -> Alaska,Total,Alaska,2,0,0,0,1,0,0,1,2,2,2,2,3,2,2,4,3,6,4,3,6
10579,r004,Total -> Arizona,Total,Arizona,2,13,17,27,29,49,40,41,39,46,66,78,86,99,76,90,85,115,109,157,139
10579,r005,Total -> Arkansas,Total,Arkansas,2,0,0,0,2,2,1,2,4,4,10,20,17,19,17,18,21,18,16,24,34
10579,r006,Total -> California,Total,California,2,770,921,1031,1229,1472,1576,1408,1574,2004,2303,2789,3163,3221,3155,3381,3716,3907,4019,5503,5059
10579,r007,Total -> Colorado,Total,Colorado,2,51,69,84,69,106,113,105,125,141,194,186,238,274,218,292,294,368,336,435,413
10579,r008,Total -> Connecticut,Total,Connecticut,2,17,21,23,19,38,41,40,51,60,73,104,93,90,75,93,102,92,119,161,147
10579,r009,Total -> Delaware,Total,Delaware,2,5,6,5,10,9,10,15,15,24,33,36,43,46,54,72,89,110,150,263,337
10579,r010,Total -> District of Columbia,Total,District of Columbia,2,8,7,10,10,12,17,13,17,21,40,51,59,50,61,67,61,69,65,101,91
10579,r011,Total -> Florida,Total,Florida,2,36,42,47,55,69,73,76,102,125,144,206,242,228,261,292,305,341,362,596,658
10579,r012,Total -> Georgia,Total,Georgia,2,37,46,54,58,71,76,74,75,88,119,127,147,155,124,162,175,179,204,270,286
10579,r013,Total -> Guam,Total,Guam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10579,r014,Total -> Hawaii,Total,Hawaii,2,3,9,5,7,9,14,10,13,13,13,10,8,14,10,14,6,21,9,22,21
10579,r015,Total -> Idaho,Total,Idaho,2,3,0,4,7,9,7,5,3,7,10,17,11,12,13,22,19,14,21,33,41
10579,r016,Total -> Illinois,Total,Illinois,2,44,40,45,58,65,67,50,112,134,158,207,228,232,257,245,256,292,308,425,412
10579,r017,Total -> Indiana,Total,Indiana,2,7,17,12,15,31,27,30,35,39,39,51,62,67,68,85,89,116,121,145,164
10579,r018,Total -> Iowa,Total,Iowa,2,3,3,1,5,5,7,6,9,6,11,16,22,12,15,22,19,16,31,47,38
10579,r019,Total -> Kansas,Total,Kansas,2,4,6,3,4,12,13,7,14,22,24,32,30,33,29,33,27,33,30,33,43
10579,r020,Total -> Kentucky,Total,Kentucky,2,5,3,8,10,14,13,17,24,18,18,25,28,42,34,31,40,45,52,57,63
10579,r021,Total -> Louisiana,Total,Louisiana,2,2,6,2,2,10,7,6,9,13,17,15,16,17,20,20,16,22,17,28,31
10579,r022,Total -> Maine,Total,Maine,2,5,2,8,9,9,6,12,8,8,17,14,20,13,16,12,22,32,29,29,25
10579,r023,Total -> Maryland,Total,Maryland,2,37,48,56,60,64,68,64,78,74,102,102,133,129,129,132,140,148,161,198,206
