table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_in_the_target_populationa,field_companies_selected_for_the_sample_all_companies,field_companies_selected_for_the_sample_noncertainties,field_companies_selected_for_the_sample_certainties
7381,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81",5400000,300000,257000,43000
7381,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,235000,51000,39500,11500
7381,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,21500,4900,3800,1200
7381,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,9100,2500,2100,450
7381,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,13000,2800,2200,600
7381,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,11500,2600,2000,550
7381,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,2200,550,250,300
7381,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,22000,4200,3500,650
7381,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,700,150,70,90
7381,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,8900,3300,2300,950
7381,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical",,4,3253,650,200,150,50
7381,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1800,950,650,300
7381,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,1900,650,500,150
7381,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,4600,1500,1000,450
7381,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,8300,2300,1600,650
7381,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,8600,2300,1800,500
7381,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,3000,1200,850,400
7381,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,48000,5800,4800,950
7381,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,19000,3400,2600,800
7381,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,9600,3700,2700,1100
7381,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,1000,450,300,150
7381,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,3000,1100,800,300
7381,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, and control instruments",,4,3345,4000,1500,1100,450
7381,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,1600,650,450,150
7381,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,4300,1400,1100,350
7381,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,8600,2800,2000,900
