table_id,row_id,number_of_classes,abic,_decrease_in_abic,entropy,_stability
6795,r001,1,251123.12,na,1.0,100.0
6795,r002,2,169609.31,32.5,0.7,100.0
6795,r003,3,125393.8,26.1,0.75,53.9
6795,r004,4,93411.35,25.5,0.8,59.3
6795,r005,5,75821.29,18.8,0.79,100.0
6795,r006,6,68315.29,9.9,0.79,100.0
6795,r007,7,62767.0,8.1,0.79,92.5
6795,r008,8,59180.94,5.7,0.8,5.9
