table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_5_9a,field_company_size_domestic_employees_10_19,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
1379,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['374,685', '  ']","['1,581', 'i ']","['4,958', 'i ']","['9,662', 'i ']","['9,298', '  ']","['14,875', '  ']","['13,092', '  ']","['14,450', '  ']","['63,971', '  ']","['40,633', '  ']","['65,594', '  ']","['136,571', ' ']"
1379,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['250,553', '  ']","['477', 'i ']","['2,224', 'i ']","['4,460', '  ']","['5,386', '  ']","['9,238', '  ']","['7,788', '  ']","['9,685', '  ']","['44,885', '  ']","['24,102', '  ']","['54,423', '  ']","['87,884', ' ']"
1379,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,828', '  ']","['5', 'i ']","['6', 'i ']","['D', '&nbsp;']","['58', 'i ']","['281', 'i ']","['153', '  ']","['95', '  ']","['664', '  ']","['249', '  ']","['2,456', '  ']","['D', '&nbsp;']"
1379,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['0', '  ']","['0', '  ']","['18', 'i ']","['3', 'i ']","['17', 'i ']","['D', '  ']","['22', '  ']","['24', '  ']","['198', '  ']","['24', '  ']","['676', ' ']"
1379,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1,166', 'i ']","['2', 'i ']","['1', 'i ']","['20', 'i ']","['26', 'i ']","['337', 'i ']","['28', '  ']","['14', 'i ']","['254', '  ']","['274', '  ']","['104', '  ']","['106', ' ']"
1379,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['188', '  ']","['0', '  ']","['9', 'i ']","['4', 'i ']","['5', 'i ']","['11', 'i ']","['7', 'i ']","['27', '  ']","['56', '  ']","['46', '  ']","['24', '  ']","['0', ' ']"
1379,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['851', '  ']","['0', '  ']","['4', 'i ']","['6', 'i ']","['14', 'i ']","['30', 'i ']","['23', '  ']","['21', '  ']","['151', '  ']","['163', '  ']","['418', '  ']","['22', ' ']"
1379,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['219', 'i ']","['2', 'i ']","['1', 'i ']","['22', 'i ']","['20', 'i ']","['49', '  ']","['12', 'i ']","['23', '  ']","['57', 'i ']","['17', '  ']","['7', '  ']","['8', ' ']"
1379,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['381', '  ']","['D', '&nbsp;']","['3', '  ']","['20', 'i ']","['14', '  ']","['117', '  ']","['23', '  ']","['45', '  ']","['D', '  ']","['0', '  ']","['135', '  ']","['0', ' ']"
1379,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['73,575', '  ']","['D', '  ']","['1,165', '  ']","['1,855', '  ']","['2,570', '  ']","['3,820', '  ']","['3,065', '  ']","['2,038', '  ']","['14,598', '  ']","['7,220', '  ']","['22,624', '  ']","['D', ' ']"
1379,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,545', '  ']","['0', '  ']","['D', '&nbsp;']","['52', '  ']","['D', '  ']","['163', '  ']","['156', '  ']","['100', '  ']","['D', '  ']","['501', '  ']","['405', '  ']","['0', ' ']"
1379,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['711', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['20', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['62', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', ' ']"
1379,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['0', '  ']","['D', '&nbsp;']","['D', '  ']","['31', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['*', '  ']","['D', '&nbsp;']","['0', ' ']"
1379,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['64,628', '  ']","['222', '  ']","['D', '  ']","['1,623', '  ']","['2,266', '  ']","['3,413', '  ']","['2,722', '  ']","['1,741', '  ']","['11,971', '  ']","['6,072', '  ']","['D', '  ']","['D', ' ']"
1379,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['2,800', '  ']","['3', 'i ']","['17', 'i ']","['D', '&nbsp;']","['55', 'i ']","['D', '&nbsp;']","['19', '  ']","['103', '  ']","['D', '  ']","['397', 'i ']","['D', '  ']","['150', 'i']"
1379,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '  ']","['3', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['D', '  ']","['33', '  ']","['593', '  ']","['250', '  ']","['D', '  ']","['65', ' ']"
1379,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,752', '  ']","['3', 'i ']","['32', 'i ']","['96', 'i ']","['111', 'i ']","['206', 'i ']","['173', '  ']","['174', '  ']","['912', '  ']","['468', '  ']","['1,422', '  ']","['155', ' ']"
