table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_hierarchy_depth,field_all,field_foreign_born,field_u_s_native_born
1638,r001,Total (number),Total (number),,1,6769000,1998000,4771000
1638,r002,Total (number) -> American Indian or Alaska Native,Total (number),American Indian or Alaska Native,2,0.2,s,0.3
1638,r003,Total (number) -> Asian,Total (number),Asian,2,19.8,59.6,3.1
1638,r004,Total (number) -> Black or African American,Total (number),Black or African American,2,5.6,4.4,6.2
1638,r005,Total (number) -> Hispanic or Latino,Total (number),Hispanic or Latino,2,7.5,9.8,6.5
1638,r006,Total (number) -> Native Hawaiian or Other Pacific Islander,Total (number),Native Hawaiian or Other Pacific Islander,2,0.3,0.5,0.3
1638,r007,Total (number) -> White,Total (number),White,2,65.0,24.4,81.9
1638,r008,Total (number) -> More than one race,Total (number),More than one race,2,1.6,1.2,1.8
