table_id,row_id,sex_and_field_of_highest_degree_full_path,sex_and_field_of_highest_degree_level_1,sex_and_field_of_highest_degree_level_2,sex_and_field_of_highest_degree_level_3,sex_and_field_of_highest_degree_level_4,sex_and_field_of_highest_degree_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_type_of_disability_hearing,field_type_of_disability_seeing,field_type_of_disability_walking,field_type_of_disability_lifting,field_type_of_disability_cognitive
6839,r001,"Both sexes, all fields","Both sexes, all fields",,,,1,6769000,505000,14000,1338000,382000,23000,4397000,109000,6120000,649000,228000,323000,60000,71000,120000
6839,r002,"Both sexes, all fields -> S&E fields","Both sexes, all fields",S&E fields,,,2,5085000,344000,9000,1150000,250000,18000,3232000,81000,4651000,434000,152000,203000,38000,50000,89000
6839,r003,"Both sexes, all fields -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",S&E fields,"Biological, agricultural, and environmental life sciences",,3,633000,38000,1000,111000,20000,1000,450000,11000,586000,46000,12000,22000,5000,5000,12000
6839,r004,"Both sexes, all fields -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",S&E fields,Computer and mathematical sciences,,3,1437000,63000,S,389000,111000,7000,844000,20000,1303000,134000,45000,67000,11000,18000,32000
6839,r005,"Both sexes, all fields -> S&E fields -> Physical and related sciences","Both sexes, all fields",S&E fields,Physical and related sciences,,3,366000,19000,,70000,15000,,255000,6000,330000,36000,12000,18000,3000,4000,7000
6839,r006,"Both sexes, all fields -> S&E fields -> Social and related sciences","Both sexes, all fields",S&E fields,Social and related sciences,,3,679000,65000,S,55000,42000,1000,503000,12000,620000,60000,24000,20000,6000,5000,11000
6839,r007,"Both sexes, all fields -> S&E fields -> Engineering","Both sexes, all fields",S&E fields,Engineering,,3,1970000,160000,5000,525000,62000,8000,1179000,32000,1812000,158000,60000,75000,13000,17000,27000
6839,r008,"Both sexes, all fields -> S&E-related fields","Both sexes, all fields",S&E-related fields,,,2,382000,34000,,81000,22000,,237000,6000,348000,34000,15000,17000,S,3000,4000
6839,r009,"Both sexes, all fields -> Non-S&E fields","Both sexes, all fields",Non-S&E fields,,,2,1301000,127000,4000,107000,110000,5000,927000,22000,1120000,181000,61000,104000,20000,19000,27000
6839,r010,"Both sexes, all fields -> Female","Both sexes, all fields",Female,,,2,1966000,154000,5000,409000,168000,5000,1188000,37000,1816000,150000,34000,72000,20000,35000,29000
6839,r011,"Both sexes, all fields -> Female -> S&E fields","Both sexes, all fields",Female,S&E fields,,3,1347000,109000,4000,340000,102000,3000,769000,20000,1246000,101000,18000,50000,9000,21000,24000
6839,r012,"Both sexes, all fields -> Female -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",Female,S&E fields,"Biological, agricultural, and environmental life sciences",4,273000,21000,,47000,11000,S,189000,4000,252000,21000,3000,11000,1000,3000,5000
6839,r013,"Both sexes, all fields -> Female -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",Female,S&E fields,Computer and mathematical sciences,4,345000,14000,,135000,47000,,145000,1000,317000,28000,6000,15000,S,9000,6000
