table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10833,r001,All agencies,All agencies,,,,,1,86967076,29881617,4593431,46355780,3901762,1916879,45107,272500
10833,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10833,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,266254,239674,0,0,24209,1906,7,458
10833,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,185800,166389,0,0,17273,1674,7,458
10833,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,22557,15703,0,0,6854,0,0,0
10833,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,52885,52885,0,0,0,0,0,0
10833,r007,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5011,4696,0,0,83,232,0,0
10833,r008,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,738885,266759,5165,286746,136756,42615,840,4
10833,r009,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,90191,90191,0,0,0,0,0,0
10833,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,448195,71633,0,283135,52805,40622,0,0
10833,r011,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,200499,104935,5165,3611,83951,1993,840,4
