table_id,row_id,technology,companies_number_,no_use,testing_but_not_using_in_production_or_service,in_use_for_less_than_5_of_production_or_service,in_use_for_between_5_and_25_of_production_or_service,in_use_for_more_than_25_of_production_or_service,don_t_know
2683,r001,Augmented reality,"['    1,102,633 ', '&nbsp;']","['    79.0 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    19.8 ', '&nbsp;']"
2683,r002,Automated guided vehicles (AGVs) or AGV systems,"['    1,102,633 ', '&nbsp;']","['    81.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    17.5 ', '&nbsp;']"
2683,r003,Automated storage and retrieval systems,"['    1,102,633 ', '&nbsp;']","['    74.2 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    3.3 ', '&nbsp;']","['    19.7 ', '&nbsp;']"
2683,r004,Machine learning,"['    1,102,633 ', '&nbsp;']","['    77.4 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    18.4 ', '&nbsp;']"
2683,r005,Machine vision software,"['    1,102,633 ', '&nbsp;']","['    79.1 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    18.2 ', '&nbsp;']"
2683,r006,Natural language processing,"['    1,102,633 ', '&nbsp;']","['    80.6 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    18.0 ', '&nbsp;']"
2683,r007,Radio-frequency identification (RFID) inventory system,"['    1,102,633 ', '&nbsp;']","['    80.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    17.3 ', '&nbsp;']"
2683,r008,Robotics,"['    1,102,633 ', '&nbsp;']","['    81.1 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    16.5 ', '&nbsp;']"
2683,r009,"Touchscreens/ kiosks for customer interface (e.g., self-checkout, self-check-in, touchscreen ordering)","['    1,102,633 ', '&nbsp;']","['    73.6 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    2.2 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    16.3 ', '&nbsp;']"
2683,r010,Voice recognition software,"['    1,102,633 ', '&nbsp;']","['    80.6 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
