table_id,row_id,_b_industry_and_naics_code_b_full_path,_b_industry_and_naics_code_b_level_1,_b_industry_and_naics_code_b_level_2,_b_industry_and_naics_code_b_hierarchy_depth,field_domestic_employmenta,field_r_d_employment_total,field_r_d_employment_male,field_r_d_employment_female,field_r_d_employment_researchersb_total,field_r_d_employment_researchersb_with_phd,field_r_d_employment_technicians_and_equivalent_staff,field_r_d_employment_other_supporting_staffc,field_r_d_employment_full_time_equivalentd_total,field_r_d_employment_full_time_equivalentd_researchersb
7364,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,1,22034,"['1,936', '']","['1,419', '']","['517', '']","['1,312', '']","['129', '']","['443', '']","['181', '']","['1,765', '&#160;']","['1,201', '&#160;']"
7364,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",2,10065,"['985', '']","['736', '']","['249', '']","['668', '']","['82', '']","['204', '']","['112', '']","['888', '&#160;']","['608', '&#160;']"
7364,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",2,11970,"['952', '']","['683', '']","['268', '']","['643', '']","['46', 'i']","['239', '']","['69', '']","['878', '&#160;']","['593', '&#160;']"
