table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1329,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,1036,1087,811,5.0,-25.4
1329,r002,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,,,,,
1329,r003,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,1003,1019,741,1.6,-27.3
1329,r004,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau<sup>b</sup>,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau<sup>b</sup>,,,4,232,237,165,2.2,-30.4
1329,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup>,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,,,4,750,746,563,-0.5,-24.5
1329,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup> -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,Construction of research facilities,,5,109,108,41,-0.7,-62.5
1329,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup> -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,Industrial technology services,,5,22,22,9,-0.7,-56.9
1329,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup> -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,Scientific and technical research and services,,5,619,616,513,-0.4,-16.7
1329,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,13,25,0,92.3,-100.0
1329,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,13,25,0,92.3,-100.0
1329,r011,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,,4,8,11,13,37.5,18.2
1329,r012,R&D and R&D plant -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,Other advancement of commerce (376),Postal Service,,,,3,33,68,70,106.1,2.9
1329,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,901,953,745,5.8,-21.8
1329,r014,R&D and R&D plant -> R&D -> Other advancement of commerce (376),R&D and R&D plant,R&D,Other advancement of commerce (376),,,,3,,,,,
1329,r015,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,,,4,868,885,675,2.0,-23.7
1329,r016,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau<sup>b</sup>,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,Census Bureau<sup>b</sup>,,5,232,237,165,2.2,-30.4
1329,r017,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup>,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,,5,615,612,497,-0.5,-18.8
1329,r018,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>c</sup> -> Construction of research facilities,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>c</sup>,Construction of research facilities,6,0,0,0,--,--
