table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support,field_unknown,field_male,field_female
8273,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,,,,,,,,,,,,
8273,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,3.1,6.5,4.6,10.1,9.1,4.7,9.1,1.5,9.1,7.9,13.3,4.4,3.6,15.0,4.7,4.7
8273,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,11.8,3.0,27.4,7.7,10.8,19.4,15.1,32.5,11.0,10.4,15.3,6.9,na,29.7,13.1,12.0
8273,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,9.6,7.1,5.2,11.9,8.9,5.5,10.1,1.9,13.4,7.7,8.0,5.0,na,23.2,10.4,11.2
8273,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,9.1,0.0,0.0,4.7,9.5,-,34.6,0.0,72.4,5.0,25.0,9.6,na,52.0,10.4,7.9
8273,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,8.0,3.7,0.0,8.4,9.1,0.0,3.8,0.8,8.7,11.8,17.3,4.5,3.6,11.9,8.1,8.0
8273,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,,,,,,,,,,,,
8273,r008,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,1947,152,103,1929,81,31,346,13,234,755,180,595,27,843,1725,1251
8273,r009,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,767,4,23,112,8,6,41,13,31,140,57,117,na,214,460,361
8273,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3727,151,109,1764,64,33,344,13,265,447,40,257,na,211,2429,1730
8273,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,330,0,0,119,6,0,9,0,71,11,3,56,na,52,173,157
8273,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1162,3,0,24,3,0,4,1,18,258,81,278,27,465,657,511
