table_id,row_id,sex_race_or_ethnicity_and_field_of_highest_degree_full_path,sex_race_or_ethnicity_and_field_of_highest_degree_level_1,sex_race_or_ethnicity_and_field_of_highest_degree_level_2,sex_race_or_ethnicity_and_field_of_highest_degree_level_3,sex_race_or_ethnicity_and_field_of_highest_degree_level_4,sex_race_or_ethnicity_and_field_of_highest_degree_hierarchy_depth,field_s_e_occupations_all_s_e,field_s_e_occupations_in_field,field_s_e_occupations_out_of_field,field_s_e_related_occupations,field_non_s_e_occupations
4404,r001,All employed S&E highest degree holders,All employed S&E highest degree holders,,,,1,37.2,27.6,9.5,13.9,49.0
4404,r002,All employed S&E highest degree holders -> Female,All employed S&E highest degree holders,Female,,,2,,,,,
4404,r003,All employed S&E highest degree holders -> Female -> All S&E fields,All employed S&E highest degree holders,Female,All S&E fields,,3,26.0,19.6,6.4,13.3,60.7
4404,r004,All employed S&E highest degree holders -> Female -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Female,All S&E fields,Computer and mathematical sciences,4,48.9,46.7,2.2,14.7,36.4
4404,r005,"All employed S&E highest degree holders -> Female -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Female,All S&E fields,"Biological, agricultural, and environmental life sciences",4,27.2,19.0,8.2,29.5,43.3
4404,r006,All employed S&E highest degree holders -> Female -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Female,All S&E fields,Physical and related sciences,4,41.5,24.8,16.8,19.1,39.4
4404,r007,All employed S&E highest degree holders -> Female -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Female,All S&E fields,Social and related sciences,4,12.3,9.4,2.9,6.8,80.9
4404,r008,All employed S&E highest degree holders -> Female -> All S&E fields -> Engineering,All employed S&E highest degree holders,Female,All S&E fields,Engineering,4,57.9,36.4,21.6,10.9,31.2
4404,r009,All employed S&E highest degree holders -> Male,All employed S&E highest degree holders,Male,,,2,,,,,
4404,r010,All employed S&E highest degree holders -> Male -> All S&E fields,All employed S&E highest degree holders,Male,All S&E fields,,3,44.6,32.9,11.6,14.2,41.2
4404,r011,All employed S&E highest degree holders -> Male -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Male,All S&E fields,Computer and mathematical sciences,4,62.8,59.4,3.4,12.2,25.0
4404,r012,"All employed S&E highest degree holders -> Male -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Male,All S&E fields,"Biological, agricultural, and environmental life sciences",4,30.6,21.0,9.6,24.7,44.7
4404,r013,All employed S&E highest degree holders -> Male -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Male,All S&E fields,Physical and related sciences,4,50.0,29.0,21.1,20.1,29.9
4404,r014,All employed S&E highest degree holders -> Male -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Male,All S&E fields,Social and related sciences,4,15.9,6.5,9.4,6.5,77.6
4404,r015,All employed S&E highest degree holders -> Male -> All S&E fields -> Engineering,All employed S&E highest degree holders,Male,All S&E fields,Engineering,4,58.0,40.3,17.7,15.9,26.1
4404,r016,All employed S&E highest degree holders -> Asian,All employed S&E highest degree holders,Asian,,,2,,,,,
4404,r017,All employed S&E highest degree holders -> Asian -> All S&E fields,All employed S&E highest degree holders,Asian,All S&E fields,,3,54.0,36.8,17.2,14.6,31.4
4404,r018,All employed S&E highest degree holders -> Asian -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Asian,All S&E fields,Computer and mathematical sciences,4,68.2,65.6,2.6,11.8,20.1
4404,r019,"All employed S&E highest degree holders -> Asian -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Asian,All S&E fields,"Biological, agricultural, and environmental life sciences",4,37.8,28.9,8.9,30.2,32.1
4404,r020,All employed S&E highest degree holders -> Asian -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Asian,All S&E fields,Physical and related sciences,4,65.0,30.2,34.9,13.6,21.4
4404,r021,All employed S&E highest degree holders -> Asian -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Asian,All S&E fields,Social and related sciences,4,14.4,7.8,6.6,5.7,79.9
4404,r022,All employed S&E highest degree holders -> Asian -> All S&E fields -> Engineering,All employed S&E highest degree holders,Asian,All S&E fields,Engineering,4,64.4,30.8,33.6,14.8,20.8
4404,r023,All employed S&E highest degree holders -> American Indian or Alaska Native,All employed S&E highest degree holders,American Indian or Alaska Native,,,2,,,,,
4404,r024,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,,3,24.5,16.0,8.4,10.1,65.5
4404,r025,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Computer and mathematical sciences,4,s,s,s,s,s
