table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_published_papers_in_conference_proceedings,field_authored_or_co_authored_conference_papers,field_submitted_articles_for_publication_in_a_peer_reviewed_journal,field_published_books_or_book_chapters,field_mentored_or_supervised_students,field_taught_courses,field_named_as_an_inventor_on_a_patent_application,field_provided_service_to_department_institution_or_professional_society
3828,r001,All early career doctorates,All early career doctorates,,,,1,186700,56.1,82.6,87.4,39.2,89.2,82.5,7.6,90.3
3828,r002,All early career doctorates -> Position type<sup>a</sup>,All early career doctorates,Position type<sup>a</sup>,,,2,,,,,,,,,
3828,r003,All early career doctorates -> Position type<sup>a</sup> -> Faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,,3,125600,57.2,85.8,88.1,46.6,92.4,96.3,5.6,94.7
3828,r004,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenured faculty,4,27300,70.0,95.5,96.3,62.7,96.5,98.0,5.6,98.1
3828,r005,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenure-track faculty,4,58500,59.8,91.6,96.2,47.7,94.2,96.4,7.0,97.2
3828,r006,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,All early career doctorates,Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,4,13000,58.2,81.1,84.8,39.2,90.8,89.8,6.0,95.2
3828,r007,"All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",All early career doctorates,Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",4,26800,38.2,65.6,63.7,31.1,84.9,97.6,2.4,85.7
3828,r008,All early career doctorates -> Position type<sup>a</sup> -> Postdoctoral scholar,All early career doctorates,Position type<sup>a</sup>,Postdoctoral scholar,,3,36400,52.9,77.7,94.2,20.2,82.3,48.1,13.1,77.5
3828,r009,All early career doctorates -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,All early career doctorates,Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,3,10900,67.6,82.3,90.1,27.9,80.4,50.0,20.0,84.7
3828,r010,All early career doctorates -> Position type<sup>a</sup> -> Other positions,All early career doctorates,Position type<sup>a</sup>,Other positions,,3,13800,45.3,66.1,60.8,30.6,85.7,73.9,2.0,87.8
3828,r011,All early career doctorates -> Employment setting,All early career doctorates,Employment setting,,,2,,,,,,,,,
3828,r012,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup>,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,,3,178900,55.4,82.6,87.3,39.9,89.8,84.7,7.1,90.6
3828,r013,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Very high research activity university,4,83000,56.8,82.8,90.8,36.5,88.6,73.4,10.8,87.7
3828,r014,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,High research activity university,4,27500,55.7,84.3,86.5,45.2,90.1,92.1,6.2,92.6
3828,r015,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Other college or university,4,68500,53.6,81.7,83.5,41.8,91.1,95.5,2.8,93.2
3828,r016,All early career doctorates -> Employment setting -> FFRDC,All early career doctorates,Employment setting,FFRDC,,3,7800,72.8,81.9,89.1,22.5,76.0,33.3,21.1,83.2
3828,r017,All early career doctorates -> Position tenure,All early career doctorates,Position tenure,,,2,,,,,,,,,
3828,r018,All early career doctorates -> Position tenure -> 1 year or less,All early career doctorates,Position tenure,1 year or less,,3,25700,45.8,75.6,82.8,29.3,87.7,85.9,4.4,86.7
3828,r019,All early career doctorates -> Position tenure -> More than 1 year but less than 5 years,All early career doctorates,Position tenure,More than 1 year but less than 5 years,,3,108600,56.4,82.2,88.6,35.4,87.9,77.4,9.1,89.1
3828,r020,All early career doctorates -> Position tenure -> 5 years or more,All early career doctorates,Position tenure,5 years or more,,3,52400,60.6,86.8,87.1,51.8,92.7,91.5,6.3,94.4
3828,r021,All early career doctorates -> First-position status,All early career doctorates,First-position status,,,2,,,,,,,,,
3828,r022,All early career doctorates -> First-position status -> Percentage of early career doctorates in first position,All early career doctorates,First-position status,Percentage of early career doctorates in first position,,3,89500,53.5,79.6,84.3,34.9,86.4,79.0,6.4,87.7
3828,r023,All early career doctorates -> First-position status -> Not the first position,All early career doctorates,First-position status,Not the first position,,3,97300,58.5,85.3,90.3,43.0,91.8,85.8,8.7,92.6
3828,r024,All early career doctorates -> Position related to doctoral degree,All early career doctorates,Position related to doctoral degree,,,2,,,,,,,,,
3828,r025,All early career doctorates -> Position related to doctoral degree -> Closely,All early career doctorates,Position related to doctoral degree,Closely,,3,146800,57.6,85.0,89.2,41.9,90.2,84.9,7.3,92.1
3828,r026,All early career doctorates -> Position related to doctoral degree -> Somewhat,All early career doctorates,Position related to doctoral degree,Somewhat,,3,36200,52.2,75.1,82.2,30.0,86.8,74.6,9.2,84.5
3828,r027,All early career doctorates -> Position related to doctoral degree -> Not at all,All early career doctorates,Position related to doctoral degree,Not at all,,3,3700,37.7,60.2,65.9,20.3,72.9,67.6,7.3,73.4
3828,r028,All early career doctorates -> Hours worked per week,All early career doctorates,Hours worked per week,,,2,,,,,,,,,
3828,r029,All early career doctorates -> Hours worked per week -> Less than 35 hours,All early career doctorates,Hours worked per week,Less than 35 hours,,3,16300,41.9,65.4,66.2,32.7,84.2,94.5,2.5,80.3
3828,r030,All early career doctorates -> Hours worked per week -> 35&#8211;44 hours,All early career doctorates,Hours worked per week,35&#8211;44 hours,,3,59600,56.0,81.5,86.6,34.4,84.3,76.2,7.8,88.3
3828,r031,All early career doctorates -> Hours worked per week -> 45&#8211;54 hours,All early career doctorates,Hours worked per week,45&#8211;54 hours,,3,62400,56.1,84.9,89.9,40.2,91.8,82.5,7.1,91.9
3828,r032,All early career doctorates -> Hours worked per week -> 55 hours or more,All early career doctorates,Hours worked per week,55 hours or more,,3,48500,61.1,86.7,92.3,45.8,93.7,86.4,9.9,93.9
