table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
2563,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    3,525,771 ', '&nbsp;']","['    2,806,839 ', '&nbsp;']","['    94,969 ', '&nbsp;']","['    162,868 ', '&nbsp;']","['    46,658 ', '&nbsp;']","['    11,093 ', '&nbsp;']","['    10,015 ', '&nbsp;']","['    341,752 ', '&nbsp;']","['    13,568 ', '&nbsp;']","['    38,009 ', '&nbsp;']"
2563,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    471,715 ', '&nbsp;']","['    404,529 ', '&nbsp;']","['    1,664 ', 'r']","['    12,146 ', '&nbsp;']","['    2,872 ', '&nbsp;']","['    371 ', '&nbsp;']","['    2,556 ', 'r']","['    40,874 ', '&nbsp;']","['    1,142 ', '&nbsp;']","['    5,561 ', 'r']"
2563,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    7,401 ', '&nbsp;']","['    7,401 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    560 ', 'r']","['    560 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2563,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    64,315 ', '&nbsp;']","['    59,397 ', '&nbsp;']","['    0 ', '&nbsp;']","['    386 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['    2,556 ', 'r']","['    743 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2563,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    75,413 ', '&nbsp;']","['    73,326 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    32 ', 'r']","['    0 ', '&nbsp;']","['    1,816 ', '&nbsp;']","['    129 ', 'r']","['    0 ', '&nbsp;']"
