table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
6092,r001,All detailed fields,All detailed fields,,,,1,283335,100.0,18929,100.0,758,100.0,18019,100.0,11074,100.0,200,100.0,108965,100.0,6510,100.0,8291,100.0,110589,100.0
6092,r002,All detailed fields -> Science,All detailed fields,Science,,,2,196742,69.4,14856,78.5,617,81.4,12542,69.6,7925,71.6,150,75.0,82872,76.1,4951,76.1,6369,76.8,66460,60.1
6092,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,4313,1.5,197,1.0,7,0.9,128,0.7,99,0.9,1,0.5,1794,1.6,78,1.2,87,1.0,1922,1.7
6092,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,3791,1.3,173,0.9,7,0.9,108,0.6,87,0.8,1,0.5,1548,1.4,60,0.9,73,0.9,1734,1.6
6092,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,522,0.2,24,0.1,0,0.0,20,0.1,12,0.1,0,0.0,246,0.2,18,0.3,14,0.2,188,0.2
6092,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,54905,19.4,4978,26.3,186,24.5,4838,26.8,2215,20.0,53,26.5,25932,23.8,1543,23.7,1746,21.1,13414,12.1
6092,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,4648,1.6,451,2.4,20,2.6,383,2.1,161,1.5,7,3.5,2170,2.0,129,2.0,86,1.0,1241,1.1
6092,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,7268,2.6,657,3.5,20,2.6,460,2.6,267,2.4,6,3.0,3536,3.2,190,2.9,225,2.7,1907,1.7
6092,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,4514,1.6,432,2.3,18,2.4,433,2.4,273,2.5,6,3.0,2100,1.9,143,2.2,135,1.6,974,0.9
6092,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,860,0.3,68,0.4,2,0.3,109,0.6,14,0.1,1,0.5,346,0.3,19,0.3,29,0.3,272,0.2
6092,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3339,1.2,119,0.6,3,0.4,417,2.3,72,0.7,2,1.0,1047,1.0,70,1.1,139,1.7,1470,1.3
6092,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,101,0.05,8,0.05,0,0.0,8,0.05,3,0.05,0,0.0,50,0.05,2,0.05,2,0.05,28,0.05
