table_id,row_id,_b_field_medical_school_space_and_research_animal_space_b_full_path,_b_field_medical_school_space_and_research_animal_space_b_level_1,_b_field_medical_school_space_and_research_animal_space_b_level_2,_b_field_medical_school_space_and_research_animal_space_b_hierarchy_depth,field_all_institutions,field_doctorate_granting_all,field_doctorate_granting_public,field_doctorate_granting_private,field_nondoctorate_granting
12844,r001,All research space,All research space,,1,240.2,230.4,172.2,58.2,9.7
12844,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,31.5,30.7,29.8,1.0,0.8
12844,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,61.2,58.9,38.7,20.2,2.3
12844,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,5.0,4.6,3.1,1.5,0.4
12844,r005,All research space -> Engineering,All research space,Engineering,2,42.0,40.9,31.5,9.4,1.1
12844,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,9.2,8.6,7.1,1.5,0.6
12844,r007,All research space -> Health sciences,All research space,Health sciences,2,40.0,39.3,27.5,11.8,0.7
12844,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.9,1.5,1.0,0.5,0.3
12844,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,5.1,4.7,4.3,0.4,0.4
12844,r010,All research space -> Physical sciences,All research space,Physical sciences,2,24.7,22.8,15.9,6.9,1.9
12844,r011,All research space -> Psychology,All research space,Psychology,2,6.1,5.5,4.2,1.3,0.6
12844,r012,All research space -> Social sciences,All research space,Social sciences,2,6.7,6.1,4.3,1.8,0.5
12844,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,6.8,6.8,4.9,1.9,0.1
12844,r014,All research space -> Medical school space<sup>a</sup>,All research space,Medical school space<sup>a</sup>,2,52.2,52.0,31.0,21.0,0.2
12844,r015,All research space -> Research animal space<sup>b</sup>,All research space,Research animal space<sup>b</sup>,2,19.8,19.1,14.4,4.6,0.8
