table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
719,r001,All business activities,All business activities,,1,21100–81000,"['12,138,755', '&nbsp;']","['9,049,901', '&nbsp;']","['3,088,854', '&nbsp;']"
719,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['141,727', '&nbsp;']","['71,425', '&nbsp;']","['70,302', '&nbsp;']"
719,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['D', '&nbsp;']","['37,584', 'i']","['D', '&nbsp;']"
719,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['76,294', '&nbsp;']","['49,059', '&nbsp;']","['27,235', 'i']"
719,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['345,155', '&nbsp;']","['334,688', '&nbsp;']","['10,468', '&nbsp;']"
719,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['64,240', '&nbsp;']","['49,718', '&nbsp;']","['14,522', '&nbsp;']"
719,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['768,660', '&nbsp;']","['553,923', '&nbsp;']","['214,737', '&nbsp;']"
719,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['170,693', '&nbsp;']","['122,282', '&nbsp;']","['48,411', '&nbsp;']"
719,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['D', '&nbsp;']","['31,715', '&nbsp;']","['D', '&nbsp;']"
719,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['80,682', '&nbsp;']","['66,883', '&nbsp;']","['13,798', '&nbsp;']"
719,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['33,750', '&nbsp;']","['29,017', '&nbsp;']","['4,733', '&nbsp;']"
719,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['168,771', '&nbsp;']","['113,735', '&nbsp;']","['55,036', '&nbsp;']"
719,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['48,441', '&nbsp;']","['40,372', '&nbsp;']","['8,069', '&nbsp;']"
719,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['512,228', '&nbsp;']","['336,274', '&nbsp;']","['175,954', '&nbsp;']"
719,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['10,356', '&nbsp;']","['9,724', '&nbsp;']","['631', '&nbsp;']"
719,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['20,439', '&nbsp;']","['11,797', '&nbsp;']","['8,643', '&nbsp;']"
