table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
5388,r001,Alabama,Alabama,,,,1,"['1,188,315', '']"
5388,r002,Alabama -> Public,Alabama,Public,,,2,"['1,166,501', '']"
5388,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,,3,"['8,749', '']"
5388,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,,3,"['2,582', '']"
5388,r005,Alabama -> Public -> Auburn U. System,Alabama,Public,Auburn U. System,,3,"['255,593', '']"
5388,r006,"Alabama -> Public -> Auburn U. System -> Auburn U., Auburn",Alabama,Public,Auburn U. System,"Auburn U., Auburn",4,"['255,281', '']"
5388,r007,"Alabama -> Public -> Auburn U. System -> Auburn U., Montgomery",Alabama,Public,Auburn U. System,"Auburn U., Montgomery",4,"['312', '']"
5388,r008,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,,3,"['1,244', '']"
5388,r009,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,,3,"['1,692', '']"
5388,r010,Alabama -> Public -> U. Alabama System,Alabama,Public,U. Alabama System,,3,"['845,074', '']"
5388,r011,"Alabama -> Public -> U. Alabama System -> U. Alabama, Birmingham",Alabama,Public,U. Alabama System,"U. Alabama, Birmingham",4,"['618,226', '']"
5388,r012,"Alabama -> Public -> U. Alabama System -> U. Alabama, Huntsville",Alabama,Public,U. Alabama System,"U. Alabama, Huntsville",4,"['131,648', '']"
5388,r013,"Alabama -> Public -> U. Alabama System -> U. Alabama, Tuscaloosa",Alabama,Public,U. Alabama System,"U. Alabama, Tuscaloosa",4,"['95,200', '']"
5388,r014,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,,3,"['51,102', '']"
5388,r015,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,,3,"['465', '']"
5388,r016,Alabama -> Private,Alabama,Private,,,2,"['21,814', '']"
5388,r017,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",,3,"['303', '']"
5388,r018,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,,3,"['538', '']"
5388,r019,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,,3,"['20,973', '']"
5388,r020,Alaska,Alaska,,,,1,"['177,537', '']"
5388,r021,Alaska -> Public (U. Alaska System),Alaska,Public (U. Alaska System),,,2,"['176,276', '']"
5388,r022,"Alaska -> Public (U. Alaska System) -> U. Alaska, Anchorage",Alaska,Public (U. Alaska System),"U. Alaska, Anchorage",,3,"['22,713', '']"
5388,r023,"Alaska -> Public (U. Alaska System) -> U. Alaska, Fairbanks",Alaska,Public (U. Alaska System),"U. Alaska, Fairbanks",,3,"['152,299', '']"
5388,r024,"Alaska -> Public (U. Alaska System) -> U. Alaska, Southeast",Alaska,Public (U. Alaska System),"U. Alaska, Southeast",,3,"['1,264', '']"
5388,r025,Alaska -> Private,Alaska,Private,,,2,"['1,261', '']"
5388,r026,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,,3,"['1,261', '']"
5388,r027,Arizona,Arizona,,,,1,"['1,499,135', '']"
5388,r028,Arizona -> Public,Arizona,Public,,,2,"['1,499,135', '']"
5388,r029,Arizona -> Public -> Arizona Board of Regents,Arizona,Public,Arizona Board of Regents,,3,"['1,498,788', '']"
5388,r030,Arizona -> Public -> Arizona Board of Regents -> Arizona State U.,Arizona,Public,Arizona Board of Regents,Arizona State U.,4,"['673,357', '']"
5388,r031,Arizona -> Public -> Arizona Board of Regents -> Northern Arizona U.,Arizona,Public,Arizona Board of Regents,Northern Arizona U.,4,"['64,456', '']"
5388,r032,Arizona -> Public -> Arizona Board of Regents -> U. Arizona,Arizona,Public,Arizona Board of Regents,U. Arizona,4,"['760,975', '']"
5388,r033,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,,3,"['347', '']"
5388,r034,Arkansas,Arkansas,,,,1,"['374,015', '']"
5388,r035,Arkansas -> Public,Arkansas,Public,,,2,"['371,913', '']"
5388,r036,Arkansas -> Public -> Arkansas State U. System,Arkansas,Public,Arkansas State U. System,,3,"['8,640', '']"
5388,r037,"Arkansas -> Public -> Arkansas State U. System -> Arkansas State U., Jonesboro",Arkansas,Public,Arkansas State U. System,"Arkansas State U., Jonesboro",4,"['8,640', '']"
5388,r038,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,,3,"['856', '']"
5388,r039,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,,3,"['275', '']"
5388,r040,Arkansas -> Public -> U. Arkansas System,Arkansas,Public,U. Arkansas System,,3,"['358,687', '']"
5388,r041,Arkansas -> Public -> U. Arkansas System -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas System,U. Arkansas for Medical Sciences,4,"['174,549', '']"
5388,r042,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Fayetteville",Arkansas,Public,U. Arkansas System,"U. Arkansas, Fayetteville",4,"['165,887', '']"
5388,r043,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Little Rock",Arkansas,Public,U. Arkansas System,"U. Arkansas, Little Rock",4,"['9,711', '']"
5388,r044,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Pine Bluff",Arkansas,Public,U. Arkansas System,"U. Arkansas, Pine Bluff",4,"['8,540', '']"
5388,r045,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,,3,"['3,455', '']"
5388,r046,Arkansas -> Private,Arkansas,Private,,,2,"['2,102', '']"
5388,r047,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,,3,"['900', '']"
5388,r048,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,,3,"['649', '']"
5388,r049,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,,3,"['345', 'i']"
5388,r050,Arkansas -> Private -> Philander Smith C.,Arkansas,Private,Philander Smith C.,,3,"['208', 'i']"
5388,r051,California,California,,,,1,"['10,915,094', '']"
5388,r052,California -> Public,California,Public,,,2,"['7,729,399', '']"
5388,r053,California -> Public -> California State U. System,California,Public,California State U. System,,3,"['375,077', '']"
5388,r054,"California -> Public -> California State U. System -> California Polytechnic State U., San Luis Obispo",California,Public,California State U. System,"California Polytechnic State U., San Luis Obispo",4,"['26,605', '']"
5388,r055,"California -> Public -> California State U. System -> California State Polytechnic U., Pomona",California,Public,California State U. System,"California State Polytechnic U., Pomona",4,"['7,396', '']"
5388,r056,"California -> Public -> California State U. System -> California State U., Bakersfield",California,Public,California State U. System,"California State U., Bakersfield",4,"['7,053', '']"
5388,r057,"California -> Public -> California State U. System -> California State U., Channel Islands",California,Public,California State U. System,"California State U., Channel Islands",4,"['1,497', '']"
5388,r058,"California -> Public -> California State U. System -> California State U., Chico",California,Public,California State U. System,"California State U., Chico",4,"['4,305', '']"
5388,r059,"California -> Public -> California State U. System -> California State U., Dominguez Hills",California,Public,California State U. System,"California State U., Dominguez Hills",4,"['2,065', '']"
5388,r060,"California -> Public -> California State U. System -> California State U., East Bay",California,Public,California State U. System,"California State U., East Bay",4,"['9,072', '']"
5388,r061,"California -> Public -> California State U. System -> California State U., Fresno",California,Public,California State U. System,"California State U., Fresno",4,"['8,856', '']"
5388,r062,"California -> Public -> California State U. System -> California State U., Fullerton",California,Public,California State U. System,"California State U., Fullerton",4,"['5,929', '']"
5388,r063,"California -> Public -> California State U. System -> California State U., Long Beach",California,Public,California State U. System,"California State U., Long Beach",4,"['16,684', '']"
5388,r064,"California -> Public -> California State U. System -> California State U., Los Angeles",California,Public,California State U. System,"California State U., Los Angeles",4,"['10,590', '']"
5388,r065,"California -> Public -> California State U. System -> California State U., Maritime Academy",California,Public,California State U. System,"California State U., Maritime Academy",4,"['3,202', '']"
5388,r066,"California -> Public -> California State U. System -> California State U., Monterey Bay",California,Public,California State U. System,"California State U., Monterey Bay",4,"['5,874', '']"
5388,r067,"California -> Public -> California State U. System -> California State U., Northridge",California,Public,California State U. System,"California State U., Northridge",4,"['21,228', '']"
5388,r068,"California -> Public -> California State U. System -> California State U., Sacramento",California,Public,California State U. System,"California State U., Sacramento",4,"['24,939', '']"
5388,r069,"California -> Public -> California State U. System -> California State U., San Bernardino",California,Public,California State U. System,"California State U., San Bernardino",4,"['10,819', '']"
5388,r070,"California -> Public -> California State U. System -> California State U., San Marcos",California,Public,California State U. System,"California State U., San Marcos",4,"['13,250', '']"
5388,r071,"California -> Public -> California State U. System -> California State U., Stanislaus",California,Public,California State U. System,"California State U., Stanislaus",4,"['1,843', '']"
5388,r072,California -> Public -> California State U. System -> Humboldt State U.,California,Public,California State U. System,Humboldt State U.,4,"['14,236', '']"
5388,r073,California -> Public -> California State U. System -> San Diego State U.,California,Public,California State U. System,San Diego State U.,4,"['97,710', '']"
5388,r074,California -> Public -> California State U. System -> San Francisco State U.,California,Public,California State U. System,San Francisco State U.,4,"['33,078', 'i']"
5388,r075,California -> Public -> California State U. System -> San Jose State U.,California,Public,California State U. System,San Jose State U.,4,"['47,301', '']"
5388,r076,California -> Public -> California State U. System -> Sonoma State U.,California,Public,California State U. System,Sonoma State U.,4,"['1,545', '']"
5388,r077,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,,3,"['62,903', '']"
5388,r078,California -> Public -> U. California System,California,Public,U. California System,,3,"['7,291,419', '']"
5388,r079,"California -> Public -> U. California System -> U. California, Berkeley",California,Public,U. California System,"U. California, Berkeley",4,"['840,000', '']"
5388,r080,"California -> Public -> U. California System -> U. California, Davis",California,Public,U. California System,"U. California, Davis",4,"['816,693', '']"
5388,r081,"California -> Public -> U. California System -> U. California, Irvine",California,Public,U. California System,"U. California, Irvine",4,"['490,597', '']"
5388,r082,"California -> Public -> U. California System -> U. California, Los Angeles",California,Public,U. California System,"U. California, Los Angeles",4,"['1,392,941', '']"
5388,r083,"California -> Public -> U. California System -> U. California, Merced",California,Public,U. California System,"U. California, Merced",4,"['45,966', '']"
5388,r084,"California -> Public -> U. California System -> U. California, Office of the President",California,Public,U. California System,"U. California, Office of the President",4,"['60,686', '']"
5388,r085,"California -> Public -> U. California System -> U. California, Riverside",California,Public,U. California System,"U. California, Riverside",4,"['184,894', '']"
5388,r086,"California -> Public -> U. California System -> U. California, San Diego",California,Public,U. California System,"U. California, San Diego",4,"['1,403,735', '']"
5388,r087,"California -> Public -> U. California System -> U. California, San Francisco",California,Public,U. California System,"U. California, San Francisco",4,"['1,651,073', '']"
5388,r088,"California -> Public -> U. California System -> U. California, Santa Barbara",California,Public,U. California System,"U. California, Santa Barbara",4,"['254,434', '']"
5388,r089,"California -> Public -> U. California System -> U. California, Santa Cruz",California,Public,U. California System,"U. California, Santa Cruz",4,"['150,400', '']"
5388,r090,California -> Private,California,Private,,,2,"['3,185,695', '']"
5388,r091,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,,3,"['7,068', '']"
5388,r092,California -> Private -> Biola U.,California,Private,Biola U.,,3,"['1,187', 'i']"
5388,r093,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,,3,"['449,651', '']"
5388,r094,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,,3,"['630', '']"
5388,r095,California -> Private -> Chapman U.,California,Private,Chapman U.,,3,"['26,660', '']"
5388,r096,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,,3,"['13,682', '']"
5388,r097,California -> Private -> Dominican U. California,California,Private,Dominican U. California,,3,"['786', 'i']"
