table_id,row_id,state_or_location_and_institution_full_path,state_or_location_and_institution_level_1,state_or_location_and_institution_level_2,state_or_location_and_institution_level_3,state_or_location_and_institution_hierarchy_depth,field_all_fields,field_education_total,field_education_education_administration,field_education_education_research,field_education_teacher_education,field_education_teaching_fields,field_education_other_education,field_humanities_and_arts_total,field_humanities_and_arts_foreign_languages_and_literature,field_humanities_and_arts_history,field_humanities_and_arts_letters,field_humanities_and_arts_other_humanities_and_arts,field_othera_total,field_othera_business_management_and_administration,field_othera_communication,field_othera_non_s_e_fields_nec,field_othera_unknown_field
2804,r001,All institutions,All institutions,,,1,55703,4635,839,2303,104,960,429,5054,610,912,1387,2145,3034,1536,543,955,0
2804,r002,All institutions -> Alabama,All institutions,Alabama,,2,653,107,20,50,12,22,3,14,2,8,3,1,30,15,5,10,0
2804,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2804,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2804,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,253,45,8,16,11,8,2,8,0,6,2,0,11,6,0,5,0
2804,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2804,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,150,10,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0
2804,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2804,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,171,46,5,30,1,9,1,6,2,2,1,1,19,9,5,5,0
2804,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
