table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_full_professor_median_salary,field_full_professor_se,field_associate_professor_median_salary,field_associate_professor_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se
8152,r001,All fields,All fields,,,,,1,99000,1000,135000,1500,98000,1000,88000,1000,67000,2000,68000,5000,70000,500
8152,r002,All fields -> Hispanic or Latino<sup>a</sup>,All fields,Hispanic or Latino<sup>a</sup>,,,,2,91000,1500,120000,2500,95000,1500,87000,3000,66000,3000,,,65000,3500
8152,r003,All fields -> Not Hispanic or Latino<sup>b</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,,,,2,,,,,,,,,,,,,,
8152,r004,All fields -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,,3,92000,6000,163000,52000,89000,7500,84000,7000,S,S,,,,
8152,r005,All fields -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Not Hispanic or Latino<sup>b</sup>,Asian,,,3,100000,2000,140000,6000,104000,4500,93000,2000,67000,2500,55000,6000,60000,2000
8152,r006,All fields -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Not Hispanic or Latino<sup>b</sup>,Black or African American,,,3,91000,2000,121000,6000,95000,3000,85000,2500,59000,2000,S,S,76000,6500
8152,r007,All fields -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Not Hispanic or Latino<sup>b</sup>,White,,,3,100000,1000,135000,2000,96000,1500,85000,1000,69000,2500,75000,10000,75000,1500
8152,r008,All fields -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,,3,95000,4500,142000,19000,99000,2500,89000,2000,60000,8000,,,73000,6500
8152,r009,All fields -> Science,All fields,Science,,,,2,95000,1000,130000,500,95000,1500,85000,1000,66000,1500,68000,7000,70000,1000
8152,r010,All fields -> Science -> Hispanic or Latino<sup>a</sup>,All fields,Science,Hispanic or Latino<sup>a</sup>,,,3,89000,1000,124000,6000,93000,2000,85000,1500,65000,1500,,,64000,2000
8152,r011,All fields -> Science -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
8152,r012,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,88000,4500,175000,52500,85000,7500,78000,7500,,,,,,
8152,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,95000,2000,134000,7500,104000,5500,93000,2500,67000,3000,55000,7000,60000,2500
8152,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,90000,1000,123000,6500,93000,3000,83000,4500,58000,2500,,,77000,7000
8152,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,97000,1000,130000,1000,92000,1500,82000,2000,66000,2500,76000,11500,75000,1500
8152,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,93000,4500,133000,12000,98000,3000,88000,3000,60000,7500,,,72000,7000
8152,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,94000,2000,149000,3500,101000,3500,90000,1000,65000,2000,55000,6000,64000,2000
8152,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Hispanic or Latino<sup>a</sup>,,4,85000,4000,125000,15500,97000,5000,89000,4500,70000,6000,,,60000,3500
8152,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8152,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,89000,25000,,,,,S,S,,,,,,
8152,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,90000,3000,160000,11000,120000,3500,95000,3500,67000,5000,,,60000,1000
8152,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,90000,3500,120000,9500,98000,4500,84000,9500,58000,2000,,,66000,6500
8152,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,White,5,96000,2000,145000,5500,100000,2500,86000,3000,64000,2500,59000,12000,67000,2000
8152,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,89000,8500,127000,14000,98000,8000,99000,12000,S,S,,,60000,1000
8152,r025,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,110000,2500,145000,6000,107000,8000,99000,2500,82000,15500,,,95000,7000
8152,r026,All fields -> Science -> Computer and information sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Computer and information sciences,Hispanic or Latino<sup>a</sup>,,4,104000,16000,134000,38500,91000,28500,109000,41500,,,,,,
8152,r027,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8152,r028,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
8152,r029,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,100000,6500,133000,8500,99000,8500,97000,4500,,,,,93000,9000
8152,r030,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,95000,5000,,,S,S,97000,4000,,,,,,
8152,r031,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,White,5,113000,4500,148000,8500,110000,4000,99000,5000,85000,12000,,,97000,19000
8152,r032,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,198000,49000,S,S,S,S,S,S,,,,,,
8152,r033,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,92000,2500,113000,5500,86000,3500,77000,4500,60000,3000,,,77000,6000
8152,r034,All fields -> Science -> Mathematics and statistics -> Hispanic or Latino<sup>a</sup>,All fields,Science,Mathematics and statistics,Hispanic or Latino<sup>a</sup>,,4,86000,3500,108000,16000,97000,4000,80000,4500,69000,3000,,,84000,11000
8152,r035,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8152,r036,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
8152,r037,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Asian,5,92000,5000,103000,5000,90000,3500,87000,6500,55000,3000,,,69000,7000
8152,r038,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,80000,9000,97000,30500,80000,8000,84000,20500,S,S,,,,
8152,r039,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,White,5,94000,2500,119000,3000,85000,2000,73000,4000,60000,4500,,,82000,12000
8152,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,83000,15000,,,,,79000,23000,,,,,,
8152,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,91000,2000,125000,3000,89000,2500,80000,2000,62000,3500,,,70000,2000
8152,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,84000,2500,127000,15500,85000,3000,72000,4000,65000,5500,,,70000,5000
8152,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8152,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
