table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7308,r048,All states and outlying areas -> Indiana -> Institutions (number),All states and outlying areas,Indiana,Institutions (number),3,17,17,3,1,10,2,4
7308,r049,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,,2,,,,,,,
7308,r050,All states and outlying areas -> Iowa -> Obligations ($thousands),All states and outlying areas,Iowa,Obligations ($thousands),3,366818.1,330666.8,1710.5,388.2,20086.6,0.0,13966.0
7308,r051,All states and outlying areas -> Iowa -> Institutions (number),All states and outlying areas,Iowa,Institutions (number),3,12,12,3,1,8,0,3
7308,r052,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,,2,,,,,,,
7308,r053,All states and outlying areas -> Kansas -> Obligations ($thousands),All states and outlying areas,Kansas,Obligations ($thousands),3,221466.8,209122.5,1436.7,0.0,7030.2,714.3,3163.1
7308,r054,All states and outlying areas -> Kansas -> Institutions (number),All states and outlying areas,Kansas,Institutions (number),3,7,7,1,0,3,1,2
7308,r055,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,,2,,,,,,,
7308,r056,All states and outlying areas -> Kentucky -> Obligations ($thousands),All states and outlying areas,Kentucky,Obligations ($thousands),3,320973.1,291942.4,8599.9,0.0,14298.3,2298.1,3834.5
7308,r057,All states and outlying areas -> Kentucky -> Institutions (number),All states and outlying areas,Kentucky,Institutions (number),3,14,12,2,0,12,2,3
7308,r058,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,,2,,,,,,,
7308,r059,All states and outlying areas -> Louisiana -> Obligations ($thousands),All states and outlying areas,Louisiana,Obligations ($thousands),3,271168.9,249466.0,2715.7,0.0,11906.8,0.0,7080.3
7308,r060,All states and outlying areas -> Louisiana -> Institutions (number),All states and outlying areas,Louisiana,Institutions (number),3,17,16,3,0,10,0,2
7308,r061,All states and outlying areas -> Maine,All states and outlying areas,Maine,,2,,,,,,,
7308,r062,All states and outlying areas -> Maine -> Obligations ($thousands),All states and outlying areas,Maine,Obligations ($thousands),3,60489.1,49770.9,103.9,1166.7,4409.7,172.0,4866.0
7308,r063,All states and outlying areas -> Maine -> Institutions (number),All states and outlying areas,Maine,Institutions (number),3,9,8,1,1,5,1,1
7308,r064,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,,2,,,,,,,
7308,r065,All states and outlying areas -> Maryland -> Obligations ($thousands),All states and outlying areas,Maryland,Obligations ($thousands),3,2537078.8,2457452.8,4510.2,120.0,58063.3,3209.7,13722.8
7308,r066,All states and outlying areas -> Maryland -> Institutions (number),All states and outlying areas,Maryland,Institutions (number),3,21,20,3,1,17,2,8
7308,r067,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,,2,,,,,,,
7308,r068,All states and outlying areas -> Massachusetts -> Obligations ($thousands),All states and outlying areas,Massachusetts,Obligations ($thousands),3,1890380.0,1792755.8,10486.7,2003.0,69758.1,3728.0,11648.5
7308,r069,All states and outlying areas -> Massachusetts -> Institutions (number),All states and outlying areas,Massachusetts,Institutions (number),3,45,43,10,4,30,5,10
7308,r070,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,,2,,,,,,,
7308,r071,All states and outlying areas -> Michigan -> Obligations ($thousands),All states and outlying areas,Michigan,Obligations ($thousands),3,1264427.6,1142712.4,51190.4,1708.9,50006.4,2187.3,16622.2
