table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performers_onlyb
1460,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['421,539', '  ']","['4.6', '  ']","['4.7', ' ']"
1460,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['291,684', '  ']","['5.4', '  ']","['5.5', ' ']"
1460,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,968', '  ']","['0.9', '  ']","['0.9', ' ']"
1460,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['D', '  ']","['D', ' ']"
1460,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1,178', 'i ']","['1.2', '  ']","['1.2', ' ']"
1460,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['D', '  ']","['D', '  ']","['D', ' ']"
1460,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['855', '  ']","['1.3', '  ']","['1.3', ' ']"
1460,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['D', '&nbsp;']","['D', '  ']","['D', ' ']"
1460,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['D', '  ']","['D', '  ']","['D', ' ']"
1460,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['104,949', '  ']","['10.1', '  ']","['D', ' ']"
1460,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,656', '  ']","['1.3', '  ']","['D', ' ']"
