table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12595,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,102310,106163,98876,3.8,-6.9
12595,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,95860,100124,92236,4.4,-7.9
12595,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,,,,3,92389,96800,90807,4.8,-6.2
12595,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,,4,24526,24039,22939,-2.0,-4.6
12595,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,,5,4036,4388,4370,8.7,-0.4
12595,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,,5,8293,8721,8173,5.2,-6.3
12595,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,,5,12197,10929,10396,-10.4,-4.9
12595,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,,4,21352,24175,23800,13.2,-1.6
12595,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,,4,10323,11104,11614,7.6,4.6
12595,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,,4,15768,15760,13037,0.0,-17.3
12595,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,,4,19975,21275,19068,6.5,-10.4
12595,r012,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,,4,446,446,349,0.0,-21.8
12595,r013,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,,3,3471,3324,1429,-4.2,-57.0
12595,r014,R&D and R&D plant -> Atomic energy defense activities (053),R&D and R&D plant,Atomic energy defense activities (053),,,,,2,6441,6030,6635,-6.4,10.0
12595,r015,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,,,,3,6441,6030,6635,-6.4,10.0
12595,r016,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Defense environmental cleanup,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Defense environmental cleanup,,,4,43,43,34,0.0,-20.9
12595,r017,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Naval reactors development,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Naval reactors development,,,4,1418,1065,1255,-24.9,17.8
12595,r018,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Nonproliferation,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Nonproliferation,,,4,580,522,569,-10.0,9.0
12595,r019,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Weapons activities,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Weapons activities,,,4,4400,4400,4777,0.0,8.6
12595,r020,R&D and R&D plant -> Defense-related activities (054),R&D and R&D plant,Defense-related activities (054),,,,,2,9,9,5,0.0,-44.4
12595,r021,"R&D and R&D plant -> Defense-related activities (054) -> Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,Defense-related activities (054),"Department of Justice, Federal Bureau of Investigation",,,,3,2,2,2,0.0,0.0
12595,r022,"R&D and R&D plant -> Defense-related activities (054) -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,Defense-related activities (054),"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,,3,7,7,3,0.0,-57.1
12595,r023,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,101060,105535,97852,4.4,-7.3
12595,r024,"R&D and R&D plant -> R&D -> Department of Defense, military (051)",R&D and R&D plant,R&D,"Department of Defense, military (051)",,,,3,95860,100376,92457,4.7,-7.9
12595,r025,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,,,4,92389,96800,90807,4.8,-6.2
12595,r026,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,5,24526,24039,22939,-2.0,-4.6
12595,r027,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,6,4036,4388,4370,8.7,-0.4
12595,r028,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,6,8293,8721,8173,5.2,-6.3
12595,r029,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,6,12197,10929,10396,-10.4,-4.9
12595,r030,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,5,21352,24175,23800,13.2,-1.6
12595,r031,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,5,10323,11104,11614,7.6,4.6
12595,r032,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,5,15768,15760,13037,0.0,-17.3
12595,r033,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,5,19975,21275,19068,6.5,-10.4
12595,r034,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,5,446,446,349,0.0,-21.8
12595,r035,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,4,3471,3576,1650,3.0,-53.9
12595,r036,R&D and R&D plant -> R&D -> Atomic energy defense activities (053),R&D and R&D plant,R&D,Atomic energy defense activities (053),,,,3,5191,5150,5390,-0.8,4.7
12595,r037,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,,,4,5191,5150,5390,-0.8,4.7
12595,r038,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Defense environmental cleanup,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Defense environmental cleanup,,5,43,43,34,0.0,-20.9
12595,r039,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Naval reactors development,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Naval reactors development,,5,841,857,899,1.9,4.9
12595,r040,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Nonproliferation,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Nonproliferation,,5,549,492,538,-10.4,9.3
12595,r041,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Weapons activities,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Weapons activities,,5,3758,3758,3919,0.0,4.3
12595,r042,R&D and R&D plant -> R&D -> Defense-related activities (054),R&D and R&D plant,R&D,Defense-related activities (054),,,,3,9,9,5,0.0,-44.4
12595,r043,"R&D and R&D plant -> R&D -> Defense-related activities (054) -> Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,R&D,Defense-related activities (054),"Department of Justice, Federal Bureau of Investigation",,,4,2,2,2,0.0,0.0
12595,r044,"R&D and R&D plant -> R&D -> Defense-related activities (054) -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,R&D,Defense-related activities (054),"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,4,7,7,3,0.0,-57.1
