table_id,row_id,field_full_path,field_level_1,field_level_2,field_hierarchy_depth,field_started_in_fy_2020_or_fy_2021,field_planned_to_start_in_fy_2022_or_fy_2023,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
7877,r001,All research space,All research space,,1,4902.6,6069.3,8110.0,2981.4
7877,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,237.8,313.5,458.6,182.2
7877,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,1608.6,1845.1,1896.4,703.2
7877,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,161.7,73.8,221.0,52.5
7877,r005,All research space -> Engineering,All research space,Engineering,2,732.3,745.9,1477.7,495.3
7877,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,155.1,194.2,340.8,220.4
7877,r007,All research space -> Health sciences,All research space,Health sciences,2,1052.2,1320.4,1581.4,237.3
7877,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,78.5,44.9,76.5,68.5
7877,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,84.8,63.5,255.0,46.5
7877,r010,All research space -> Physical sciences,All research space,Physical sciences,2,532.8,919.4,1056.0,552.4
7877,r011,All research space -> Psychology,All research space,Psychology,2,50.5,203.9,276.8,131.2
7877,r012,All research space -> Social sciences,All research space,Social sciences,2,111.8,251.1,355.4,142.2
7877,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,96.3,93.6,114.4,149.6
