table_id,row_id,type_of_disruption_full_path,type_of_disruption_level_1,type_of_disruption_level_2,type_of_disruption_hierarchy_depth,field_number_and_percent
7664,r001,My research was disrupted (number),My research was disrupted (number),,1,20286
7664,r002,My research was disrupted (number) -> Limited or no access to resources (%),My research was disrupted (number),Limited or no access to resources (%),2,84.6
7664,r003,My research was disrupted (number) -> Changed my research plan (%),My research was disrupted (number),Changed my research plan (%),2,37.6
7664,r004,My research was disrupted (number) -> Disrupted in other ways (%),My research was disrupted (number),Disrupted in other ways (%),2,12.5
