table_id,row_id,_b_industry_and_naics_code_b_full_path,_b_industry_and_naics_code_b_level_1,_b_industry_and_naics_code_b_level_2,_b_industry_and_naics_code_b_level_3,_b_industry_and_naics_code_b_level_4,_b_industry_and_naics_code_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021
12623,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,396979,443633,491434,538870,602499
12623,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,255602,274315,284673,309021,326060
12623,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,13341,14770,15182,16243,17730
12623,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333 -> Semiconductor machinery, 333242","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333","Semiconductor machinery, 333242",4,3737,4166,4459,4809,5349
12623,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,78003,83948,85571,99523,101063
12623,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic components, 3344","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic components, 3344",4,30373,"30,232 - 43,377",35178,43184,47396
12623,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,141377,169318,206761,229849,276439
